"","V1"
"1","AAK1"
"2","AATK"
"3","ABCA1"
"4","ABCA2"
"5","ABCA6"
"6","ABCA7"
"7","ABCA8"
"8","ABCC2"
"9","ABCC5"
"10","ABCD4"
"11","ABCG1"
"12","ABHD12"
"13","ABHD17B"
"14","ABI3BP"
"15","ABTB2"
"16","AC002429.5"
"17","AC002463.3"
"18","AC004076.9"
"19","AC004540.5"
"20","AC004945.2"
"21","AC005154.6"
"22","AC005785.5"
"23","AC007014.1"
"24","AC007246.3"
"25","AC007364.1"
"26","AC009404.5"
"27","AC009495.4"
"28","AC009948.3"
"29","AC010746.2"
"30","AC012074.2"
"31","AC012307.3"
"32","AC012358.8"
"33","AC012593.1"
"34","AC013402.2"
"35","AC013463.2"
"36","AC018464.3"
"37","AC018890.6"
"38","AC026188.1"
"39","AC068542.1"
"40","AC073283.4"
"41","AC073316.1"
"42","AC079305.11"
"43","AC079610.1"
"44","AC087859.1"
"45","AC090044.1"
"46","AC091969.1"
"47","AC092684.1"
"48","AC093495.4"
"49","AC096582.7"
"50","AC097467.2"
"51","AC107218.3"
"52","AC108142.1"
"53","AC136007.2"
"54","AC145212.1"
"55","AC270285.2"
"56","AC270306.4"
"57","ACAA2"
"58","ACADSB"
"59","ACAN"
"60","ACAP3"
"61","ACER3"
"62","ACOT7"
"63","ACSBG1"
"64","ACSL1"
"65","ACSL3"
"66","ACSM3"
"67","ACTA2"
"68","ACTN1"
"69","ACTN2"
"70","ACTR1B"
"71","ADAM10"
"72","ADAM23"
"73","ADAMTS14"
"74","ADAMTS17"
"75","ADAMTS18"
"76","ADAMTS4"
"77","ADAMTS6"
"78","ADAMTS8"
"79","ADAMTSL2"
"80","ADAMTSL3"
"81","ADAMTSL4-AS1"
"82","ADAR"
"83","ADARB2"
"84","ADCY3"
"85","ADCY9"
"86","ADD1"
"87","ADD3"
"88","ADGRB3"
"89","ADGRE2"
"90","ADGRE5"
"91","ADGRL1"
"92","ADGRL3"
"93","AF011889.4"
"94","AF121898.3"
"95","AF131217.1"
"96","AFF1"
"97","AFF4"
"98","AFMID"
"99","AGAP1"
"100","AGBL3"
"101","AGO2"
"102","AGO4"
"103","AGPAT3"
"104","AGPAT4"
"105","AGRN"
"106","AHNAK2"
"107","AIF1L"
"108","AIG1"
"109","AJAP1"
"110","AK5"
"111","AK7"
"112","AKAP7"
"113","AKR7A2"
"114","AL035209.2"
"115","AL121656.4"
"116","AL450992.2"
"117","AL592183.1"
"118","ALCAM"
"119","ALDH16A1"
"120","ALDH18A1"
"121","ALDH1A2"
"122","ALDH8A1"
"123","ALKBH6"
"124","ALPK2"
"125","AMBRA1"
"126","AMER2"
"127","AMIGO1"
"128","AMOTL2"
"129","AMPD3"
"130","ANAPC10"
"131","ANGPT1"
"132","ANGPTL2"
"133","ANK2"
"134","ANK3"
"135","ANKFN1"
"136","ANKH"
"137","ANKIB1"
"138","ANKRD13C"
"139","ANKRD17"
"140","ANKRD18A"
"141","ANKRD28"
"142","ANKRD36"
"143","ANKRD36B"
"144","ANKRD44"
"145","ANKRD50"
"146","ANKRD52"
"147","ANKRD62"
"148","ANKS1B"
"149","ANLN"
"150","ANP32B"
"151","AOAH"
"152","AOX1"
"153","AOX3P"
"154","AP000936.1"
"155","AP1G2"
"156","AP3M1"
"157","AP3M2"
"158","AP4S1"
"159","APBB1"
"160","APBB2"
"161","APIP"
"162","APLNR"
"163","APLP1"
"164","APOD"
"165","APOL6"
"166","APOLD1"
"167","APP"
"168","APPL2"
"169","APRT"
"170","AQP1"
"171","AQP4"
"172","ARAP2"
"173","ARF1"
"174","ARFGAP1"
"175","ARFGEF3"
"176","ARHGAP1"
"177","ARHGAP12"
"178","ARHGAP21"
"179","ARHGAP31"
"180","ARHGAP33"
"181","ARHGAP39"
"182","ARHGDIA"
"183","ARHGEF2"
"184","ARHGEF40"
"185","ARID1B"
"186","ARL10"
"187","ARL13B"
"188","ARL2"
"189","ARMCX3"
"190","ARNT"
"191","ARNT2"
"192","ARPP21"
"193","ARRDC2"
"194","ASAP1"
"195","ASAP2"
"196","ASPA"
"197","ASPH"
"198","ASPN"
"199","ASPSCR1"
"200","ASRGL1"
"201","ASTN1"
"202","ASXL1"
"203","ASXL2"
"204","ATCAY"
"205","ATE1"
"206","ATF7IP"
"207","ATG13"
"208","ATG2B"
"209","ATP11A"
"210","ATP1B1"
"211","ATP2B1"
"212","ATP2B4"
"213","ATP5D"
"214","ATP5J"
"215","ATP5L"
"216","ATP6V0A1"
"217","ATP8A1"
"218","ATP8B3"
"219","ATP8B5P"
"220","ATXN1"
"221","ATXN2"
"222","ATXN2L"
"223","ATXN7L1"
"224","ATXN7L2"
"225","AUP1"
"226","AURKAIP1"
"227","AUTS2"
"228","AXDND1"
"229","B3GLCT"
"230","B4GAT1"
"231","BACE2"
"232","BACH2"
"233","BAIAP2"
"234","BBS10"
"235","BBS2"
"236","BBS5"
"237","BBX"
"238","BCAS1"
"239","BCAT1"
"240","BCHE"
"241","BCKDHB"
"242","BCL2"
"243","BCL2L1"
"244","BCO1"
"245","BCR"
"246","BEND7"
"247","BEX2"
"248","BEX3"
"249","BHLHE41"
"250","BICC1"
"251","BIN1"
"252","BIVM"
"253","BLOC1S1"
"254","BMP8A"
"255","BMS1P1"
"256","BNIP3L"
"257","BOP1"
"258","BORCS7-ASMT"
"259","BRAF"
"260","BRAP"
"261","BRINP2"
"262","BRIP1"
"263","BTBD10"
"264","BTBD2"
"265","BZW2"
"266","C10orf10"
"267","C10orf107"
"268","C10orf35"
"269","C10orf90"
"270","C11orf73"
"271","C11orf95"
"272","C12orf49"
"273","C14orf145"
"274","C14orf178"
"275","C15orf41"
"276","C16orf13"
"277","C16orf87"
"278","C16orf88"
"279","C19orf66"
"280","C1orf101"
"281","C1orf112"
"282","C1orf159"
"283","C1orf168"
"284","C1orf194"
"285","C20orf194"
"286","C21orf131"
"287","C21orf81"
"288","C22orf27"
"289","C2orf72"
"290","C2orf73"
"291","C3orf62"
"292","C4orf32"
"293","C5orf17"
"294","C5orf24"
"295","C5orf55"
"296","C6orf59"
"297","C6orf89"
"298","C7orf55"
"299","C7orf61"
"300","C9orf135"
"301","C9orf84"
"302","CA2"
"303","CABLES2"
"304","CADM1"
"305","CADM2"
"306","CADM4"
"307","CADPS"
"308","CALD1"
"309","CALM1"
"310","CALM2"
"311","CALN1"
"312","CALR"
"313","CAMK2B"
"314","CAMK2D"
"315","CAMK2N1"
"316","CAMSAP2"
"317","CAMTA1"
"318","CAND2"
"319","CAPN10"
"320","CAPN2"
"321","CAPN9"
"322","CAPS"
"323","CAPZB"
"324","CARD14"
"325","CARNS1"
"326","CASC4"
"327","CASKIN2"
"328","CASP6"
"329","CATSPERG"
"330","CBFB"
"331","CBL"
"332","CBLC"
"333","CBLN2"
"334","CBR1"
"335","CBX3"
"336","CBX6"
"337","CCDC110"
"338","CCDC122"
"339","CCDC138"
"340","CCDC144C"
"341","CCDC149"
"342","CCDC162P"
"343","CCDC192"
"344","CCDC22"
"345","CCDC3"
"346","CCDC59"
"347","CCDC62"
"348","CCDC82"
"349","CCDC88A"
"350","CCL28"
"351","CCND2-AS1"
"352","CCNF"
"353","CCNT2"
"354","CCNY"
"355","CCP110"
"356","CCPG1"
"357","CCSER2"
"358","CCT2"
"359","CD164"
"360","CD22"
"361","CD27-AS1"
"362","CD58"
"363","CD59"
"364","CD72"
"365","CD74"
"366","CD86"
"367","CDC42BPA"
"368","CDH1"
"369","CDH11"
"370","CDH19"
"371","CDH2"
"372","CDH20"
"373","CDH23"
"374","CDH7"
"375","CDH8"
"376","CDK11B"
"377","CDK18"
"378","CDK5RAP2"
"379","CDK6"
"380","CDKL1"
"381","CEL"
"382","CELSR3"
"383","CENPC"
"384","CENPO"
"385","CEP290"
"386","CEP44"
"387","CEP85"
"388","CEP85L"
"389","CERCAM"
"390","CERS4"
"391","CERS5"
"392","CERS6"
"393","CES4A"
"394","CFAP36"
"395","CFAP44"
"396","CFAP54"
"397","CFAP73"
"398","CH17-189H20.1"
"399","CHAC2"
"400","CHAF1B"
"401","CHD9"
"402","CHFR"
"403","CHKA"
"404","CHMP7"
"405","CHODL"
"406","CHPF"
"407","CHRM5"
"408","CHST1"
"409","CHST10"
"410","CHST3"
"411","CHST6"
"412","CIAO1"
"413","CIC"
"414","CIDECP"
"415","CLASP1"
"416","CLASP2"
"417","CLCC1"
"418","CLCN4"
"419","CLDN15"
"420","CLDND1"
"421","CLEC14A"
"422","CLEC16A"
"423","CLEC2D"
"424","CLIP2"
"425","CLMN"
"426","CLNK"
"427","CLOCK"
"428","CLSTN1"
"429","CLU"
"430","CLUL1"
"431","CMAHP"
"432","CMBL"
"433","CMC2"
"434","CMIP"
"435","CMTM4"
"436","CMTM5"
"437","CMTM6"
"438","CNDP1"
"439","CNDP2"
"440","CNIH2"
"441","CNKSR1"
"442","CNKSR2"
"443","CNMD"
"444","CNNM2"
"445","CNOT2"
"446","CNP"
"447","CNPY4"
"448","CNR1"
"449","CNR2"
"450","CNTN1"
"451","CNTN2"
"452","CNTNAP4"
"453","COBL"
"454","COG1"
"455","COL18A1"
"456","COL4A2"
"457","COL4A3"
"458","COL4A5"
"459","COL6A6"
"460","COL9A2"
"461","COL9A3"
"462","COPS6"
"463","CORO1C"
"464","CORO2B"
"465","COX10-AS1"
"466","COX5B"
"467","COX6A1"
"468","COX8A"
"469","CPEB2"
"470","CPEB3"
"471","CPM"
"472","CPNE1"
"473","CPNE2"
"474","CPOX"
"475","CPQ"
"476","CPSF6"
"477","CPT1C"
"478","CPVL"
"479","CPXM2"
"480","CRB1"
"481","CRB2"
"482","CREB5"
"483","CREBRF"
"484","CREG2"
"485","CRK"
"486","CROCC"
"487","CROCCP2"
"488","CRY2"
"489","CRYAB"
"490","CRYBB2P1"
"491","CRYBG3"
"492","CRYL1"
"493","CSF3R"
"494","CSMD2"
"495","CSNK1A1P1"
"496","CSPP1"
"497","CSRNP1"
"498","CSRNP3"
"499","CSRP2"
"500","CST3"
"501","CTA-292E10.6"
"502","CTB-118N6.2"
"503","CTB-99A3.1"
"504","CTBP2"
