"","V1"
"1","AAAS"
"2","AASDHPPT"
"3","AATK"
"4","ABC12-49244600F4.3"
"5","ABCA1"
"6","ABCA10"
"7","ABCA2"
"8","ABCA3"
"9","ABCA5"
"10","ABCA8"
"11","ABCB8"
"12","ABCC11"
"13","ABCC4"
"14","ABCC8"
"15","ABCC9"
"16","ABCD2"
"17","ABHD10"
"18","ABHD2"
"19","ABHD3"
"20","ABHD6"
"21","ABI1"
"22","ABI2"
"23","ABI3BP"
"24","ABLIM1"
"25","ABTB2"
"26","AC002429.5"
"27","AC003029.1"
"28","AC003080.4"
"29","AC003665.1"
"30","AC003991.3"
"31","AC004901.1"
"32","AC004987.7"
"33","AC005037.3"
"34","AC005154.6"
"35","AC005754.7"
"36","AC006032.1"
"37","AC006547.13"
"38","AC007092.1"
"39","AC007682.1"
"40","AC007796.1"
"41","AC008393.2"
"42","AC009120.4"
"43","AC011290.4"
"44","AC011524.1"
"45","AC011747.7"
"46","AC012309.5"
"47","AC012593.1"
"48","AC016747.2"
"49","AC016907.3"
"50","AC023590.1"
"51","AC034220.3"
"52","AC072061.2"
"53","AC073283.4"
"54","AC074363.1"
"55","AC074391.1"
"56","AC079117.1"
"57","AC079135.1"
"58","AC083843.1"
"59","AC084018.1"
"60","AC087859.1"
"61","AC090044.1"
"62","AC090937.2"
"63","AC091969.1"
"64","AC092155.4"
"65","AC092594.1"
"66","AC093415.2"
"67","AC093726.6"
"68","AC096574.5"
"69","AC099057.8"
"70","AC108142.1"
"71","AC145212.1"
"72","ACACB"
"73","ACADM"
"74","ACADVL"
"75","ACAP3"
"76","ACBD4"
"77","ACER3"
"78","ACO2"
"79","ACOX1"
"80","ACSL1"
"81","ACSL6"
"82","ACSM5"
"83","ACSS1"
"84","ACSS3"
"85","ACTB"
"86","ACTN1"
"87","ACTR3"
"88","ACTR3B"
"89","ADAM12"
"90","ADAMTS14"
"91","ADAMTS17"
"92","ADAMTS4"
"93","ADAMTS6"
"94","ADAMTS9"
"95","ADAMTSL3"
"96","ADAMTSL4-AS1"
"97","ADARB2"
"98","ADCY1"
"99","ADCY2"
"100","ADCY5"
"101","ADCY7"
"102","ADCY8"
"103","ADD2"
"104","ADD3"
"105","ADGRB1"
"106","ADGRB3"
"107","ADGRG1"
"108","ADGRG5"
"109","ADGRL1"
"110","ADGRL3"
"111","ADGRV1"
"112","ADK"
"113","ADORA2B"
"114","ADRA1D"
"115","AEBP1"
"116","AF131217.1"
"117","AFF1"
"118","AFF3"
"119","AGAP1"
"120","AGAP2"
"121","AGBL1"
"122","AGBL4"
"123","AGFG2"
"124","AGL"
"125","AGT"
"126","AGTPBP1"
"127","AHCTF1"
"128","AHCYL1"
"129","AHCYL2"
"130","AHDC1"
"131","AHNAK"
"132","AIF1L"
"133","AK3"
"134","AK8"
"135","AK9"
"136","AKAP12"
"137","AKAP6"
"138","AKNA"
"139","AKR1C1"
"140","AKR1C3"
"141","AL035209.2"
"142","AL109761.3"
"143","AL121656.4"
"144","AL592183.1"
"145","ALCAM"
"146","ALDH1A1"
"147","ALDH1L1"
"148","ALDH7A1"
"149","ALDH9A1"
"150","ALK"
"151","ALPK1"
"152","ALS2CL"
"153","ALS2CR11"
"154","ALS2CR12"
"155","AMMECR1"
"156","AMZ2"
"157","ANAPC1"
"158","ANAPC5"
"159","ANGPT1"
"160","ANGPTL4"
"161","ANK2"
"162","ANKEF1"
"163","ANKRD18A"
"164","ANKRD24"
"165","ANKRD28"
"166","ANKRD33B"
"167","ANKRD36"
"168","ANKRD36C"
"169","ANKRD44"
"170","ANLN"
"171","ANO1"
"172","ANO2"
"173","ANO6"
"174","ANOS1"
"175","ANP32A"
"176","ANTXR1"
"177","ANTXR2"
"178","ANXA1"
"179","AP000230.1"
"180","AP000462.1"
"181","AP000692.9"
"182","AP000797.3"
"183","AP001347.6"
"184","AP002884.2"
"185","APBB2"
"186","APC"
"187","APC2"
"188","APIP"
"189","APLF"
"190","APLNR"
"191","APOE"
"192","APOOL"
"193","APP"
"194","AQP1"
"195","AQP4"
"196","ARAP1"
"197","ARAP2"
"198","ARF1"
"199","ARF3"
"200","ARGLU1"
"201","ARHGAP21"
"202","ARHGAP24"
"203","ARHGAP26"
"204","ARHGAP29"
"205","ARHGAP39"
"206","ARHGAP6"
"207","ARHGEF1"
"208","ARHGEF10L"
"209","ARHGEF17"
"210","ARHGEF3"
"211","ARHGEF4"
"212","ARL1"
"213","ARL13B"
"214","ARL6IP1"
"215","ARL8A"
"216","ARMC8"
"217","ARMCX4"
"218","ARNTL"
"219","ARPP21"
"220","ARRB1"
"221","ARRDC3"
"222","ARRDC4"
"223","ARSE"
"224","ARSF"
"225","ART3"
"226","ASAP1"
"227","ASAP2"
"228","ASH1L"
"229","ASIC1"
"230","ASPH"
"231","ASS1"
"232","ASTN1"
"233","ASXL2"
"234","ATAD1"
"235","ATAD3C"
"236","ATF4"
"237","ATF7IP"
"238","ATF7IP2"
"239","ATG10"
"240","ATG7"
"241","ATL1"
"242","ATL3"
"243","ATP10B"
"244","ATP11C"
"245","ATP1A2"
"246","ATP1B1"
"247","ATP1B2"
"248","ATP2A2"
"249","ATP2B2"
"250","ATP2B4"
"251","ATP5I"
"252","ATP8A1"
"253","ATP9A"
"254","ATR"
"255","ATXN1"
"256","AVL9"
"257","B3GAT2"
"258","B3GLCT"
"259","BACH2"
"260","BAG3"
"261","BAIAP2"
"262","BAIAP3"
"263","BAMBI"
"264","BASP1"
"265","BBS2"
"266","BBS7"
"267","BCAN"
"268","BCAR3"
"269","BCAS3"
"270","BCAT2"
"271","BCHE"
"272","BCL2"
"273","BCL6"
"274","BCLAF1"
"275","BCO1"
"276","BCR"
"277","BDH2"
"278","BDNF-AS1"
"279","BEST1"
"280","BET1"
"281","BHLHE40"
"282","BICC1"
"283","BIN3"
"284","BIRC2"
"285","BIRC6"
"286","BLM"
"287","BLOC1S2"
"288","BMPR1B"
"289","BMS1P1"
"290","BNC2"
"291","BOC"
"292","BRD3"
"293","BRINP1"
"294","BRINP2"
"295","BRINP3"
"296","BRIP1"
"297","BRSK2"
"298","BSG"
"299","BTAF1"
"300","BTBD11"
"301","BTBD17"
"302","BTBD2"
"303","BTG2"
"304","C10orf107"
"305","C10orf11"
"306","C10orf110"
"307","C10orf76"
"308","C10orf90"
"309","C11orf1"
"310","C11orf80"
"311","C12orf4"
"312","C14orf159"
"313","C14orf23"
"314","C15orf59"
"315","C16orf62"
"316","C16orf74"
"317","C16orf88"
"318","C16orf95"
"319","C17orf89"
"320","C18orf8"
"321","C19orf18"
"322","C1GALT1"
"323","C1QTNF3-AMACR"
"324","C1R"
"325","C1RL"
"326","C1S"
"327","C1orf101"
"328","C1orf21"
"329","C1orf220"
"330","C1orf228"
"331","C1orf27"
"332","C1orf61"
"333","C1orf95"
"334","C21orf2"
"335","C22orf23"
"336","C2CD2"
"337","C2CD5"
"338","C2orf58"
"339","C2orf80"
"340","C2orf91"
"341","C3"
"342","C4orf50"
"343","C5"
"344","C5orf17"
"345","C5orf64"
"346","C8orf34"
"347","C8orf37"
"348","C8orf46"
"349","C9orf3"
"350","C9orf72"
"351","CA11"
"352","CA12"
"353","CA5BP"
"354","CAB39L"
"355","CABLES1"
"356","CACHD1"
"357","CACNA2D1"
"358","CACNA2D2"
"359","CACNA2D3"
"360","CACNB2"
"361","CACNG4"
"362","CAD"
"363","CADM1"
"364","CADM2"
"365","CADPS"
"366","CALCOCO2"
"367","CALD1"
"368","CALN1"
"369","CAMK2B"
"370","CAMK2G"
"371","CAMK4"
"372","CAPG"
"373","CAPN9"
"374","CARNMT1"
"375","CARS2"
"376","CASC2"
"377","CASC5"
"378","CASP6"
"379","CAST"
"380","CBX6"
"381","CCDC109B"
"382","CCDC120"
"383","CCDC127"
"384","CCDC138"
"385","CCDC141"
"386","CCDC144B"
"387","CCDC15"
"388","CCDC170"
"389","CCDC175"
"390","CCDC192"
"391","CCDC3"
"392","CCDC7"
"393","CCDC80"
"394","CCDC85A"
"395","CCDC88A"
"396","CCDC88C"
"397","CCDC90B"
"398","CCND2"
"399","CCND3"
"400","CCNG1"
"401","CD109"
"402","CD164"
"403","CD38"
"404","CD44"
"405","CD58"
"406","CD74"
"407","CDH10"
"408","CDH11"
"409","CDH13"
"410","CDH20"
"411","CDH23"
"412","CDH26"
"413","CDH8"
"414","CDHR3"
"415","CDK5RAP2"
"416","CDO1"
"417","CDYL2"
"418","CECR2"
"419","CELF1"
"420","CELF4"
"421","CENPP"
"422","CENPT"
"423","CEP112"
"424","CEP192"
"425","CEP350"
"426","CEP63"
"427","CEP85L"
"428","CEP89"
"429","CERCAM"
"430","CERKL"
"431","CERS2"
"432","CERS6"
"433","CETN2"
"434","CFAP46"
"435","CFAP47"
"436","CFAP54"
"437","CFAP61"
"438","CFAP70"
"439","CFAP77"
"440","CFAP99"
"441","CGRRF1"
"442","CH17-472G23.1"
"443","CH17-472G23.2"
"444","CH17-472G23.4"
"445","CHCHD7"
"446","CHD3"
"447","CHD8"
"448","CHD9"
"449","CHI3L1"
"450","CHKA"
"451","CHKB"
"452","CHL1"
"453","CHPT1"
"454","CHST11"
"455","CHST3"
"456","CHST6"
"457","CHST9"
"458","CHST9-AS1"
"459","CIRBP"
"460","CLCN4"
"461","CLDN10"
"462","CLDN12"
"463","CLDN15"
"464","CLEC16A"
"465","CLGN"
"466","CLHC1"
"467","CLIC4"
"468","CLIP1"
"469","CLIP2"
"470","CLIP3"
"471","CLIP4"
"472","CLK4"
"473","CLMN"
"474","CLN3"
"475","CLN6"
"476","CLPP"
"477","CLSTN1"
"478","CLTCL1"
"479","CLU"
"480","CLVS1"
"481","CLYBL"
"482","CMP21-T1230.1"
"483","CNDP1"
"484","CNKSR2"
"485","CNKSR3"
"486","CNN3"
"487","CNOT1"
"488","CNST"
"489","CNTFR"
"490","CNTN1"
"491","CNTN2"
"492","CNTN3"
"493","CNTNAP1"
"494","CNTNAP3"
"495","CNTNAP3B"
"496","COBL"
"497","COL11A1"
"498","COL15A1"
"499","COL16A1"
"500","COL18A1"
"501","COL21A1"
"502","COL23A1"
"503","COL24A1"
"504","COL27A1"
"505","COL4A4"
"506","COL5A1"
"507","COL5A3"
"508","COL6A2"
"509","COL6A3"
"510","COL8A1"
"511","COL9A3"
"512","COLEC12"
"513","COLGALT2"
"514","COLQ"
"515","COPG2"
"516","CORO1C"
"517","CORO2A"
"518","COTL1"
"519","COX17"
"520","COX7C"
"521","CP"
"522","CPAMD8"
"523","CPE"
"524","CPEB3"
"525","CPM"
"526","CPNE5"
"527","CPNE8"
"528","CPO"
"529","CPPED1"
"530","CPS1"
"531","CRB2"
"532","CREB5"
"533","CREBRF"
"534","CREBZF"
"535","CRISPLD1"
"536","CRNDE"
"537","CROCCP2"
"538","CRTC3"
"539","CRYAB"
"540","CRYBB2P1"
"541","CRYBG3"
"542","CSF1"
"543","CSMD1"
"544","CSMD2"
"545","CSMD3"
"546","CSPG5"
"547","CSRNP1"
"548","CSRP1"
"549","CST3"
"550","CTB-131B5.5"
"551","CTB-88F18.5"
"552","CTC-228N24.3"
"553","CTC-255N20.1"
"554","CTC-340A15.2"
"555","CTC-347C20.1"
"556","CTC-358I24.1"
"557","CTC-454M9.1"
"558","CTC-459I6.1"
"559","CTC-467M3.1"
"560","CTC-498M16.4"
"561","CTC-499B15.5"
"562","CTC-523E23.8"
"563","CTC-559E9.6"
"564","CTCF"
"565","CTD-2007H13.3"
"566","CTD-2010I16.2"
"567","CTD-2026D20.3"
"568","CTD-2054N24.2"
"569","CTD-2127H9.1"
"570","CTD-2175A23.1"
"571","CTD-2192J16.22"
"572","CTD-2201E18.3"
