"","V1"
"1","AAAS"
"2","AADAT"
"3","AAED1"
"4","ABHD12B"
"5","ABHD8"
"6","ABTB2"
"7","AC002310.13"
"8","AC003080.4"
"9","AC004076.5"
"10","AC006032.1"
"11","AC007193.6"
"12","AC007228.11"
"13","AC007563.5"
"14","AC008268.3"
"15","AC008697.1"
"16","AC009878.2"
"17","AC010746.2"
"18","AC012358.8"
"19","AC012363.4"
"20","AC012501.2"
"21","AC018633.4"
"22","AC018809.6"
"23","AC021016.8"
"24","AC022182.1"
"25","AC034220.3"
"26","AC058791.1"
"27","AC068831.18"
"28","AC072062.1"
"29","AC073254.1"
"30","AC074391.1"
"31","AC079305.8"
"32","AC090044.1"
"33","AC105402.4"
"34","AC116366.7"
"35","ACAP2"
"36","ACBD3"
"37","ACOT13"
"38","ACPP"
"39","ACSF2"
"40","ACSL1"
"41","ACSM5"
"42","ACTR1A"
"43","ACTR2"
"44","ADAM12"
"45","ADAM28"
"46","ADAMTS17"
"47","ADAMTS2"
"48","ADAMTSL2"
"49","ADAMTSL4-AS1"
"50","ADAP2"
"51","ADAT1"
"52","ADCK1"
"53","ADCK2"
"54","ADCY3"
"55","ADCY7"
"56","ADD3"
"57","ADGRE1"
"58","ADGRG5"
"59","ADGRG6"
"60","ADRA1D"
"61","AF064858.6"
"62","AFF1"
"63","AFF3"
"64","AFTPH"
"65","AHCY"
"66","AHI1"
"67","AK2"
"68","AKAP13"
"69","AKR1D1"
"70","AKT1"
"71","AL449209.1"
"72","ALDH3A2"
"73","ALG11"
"74","ALPK2"
"75","ALPK3"
"76","AMPD3"
"77","ANAPC11"
"78","ANAPC16"
"79","ANAPC2"
"80","ANGPT2"
"81","ANK1"
"82","ANKRD17"
"83","ANKRD18A"
"84","ANKRD36B"
"85","ANKRD36C"
"86","ANKRD40"
"87","ANKRD42"
"88","ANKRD50"
"89","ANKS1A"
"90","ANOS1"
"91","ANXA5"
"92","AOAH"
"93","AP000230.1"
"94","AP000476.1"
"95","AP000689.8"
"96","AP1G2"
"97","APEX1"
"98","APOD"
"99","APOE"
"100","APOLD1"
"101","APOOL"
"102","APPL2"
"103","AQP4"
"104","ARF4-AS1"
"105","ARHGAP1"
"106","ARHGAP15"
"107","ARHGAP21"
"108","ARHGAP22"
"109","ARHGAP24"
"110","ARHGAP25"
"111","ARHGAP26"
"112","ARHGAP29"
"113","ARHGAP30"
"114","ARHGAP4"
"115","ARHGDIB"
"116","ARHGEF4"
"117","ARHGEF6"
"118","ARID2"
"119","ARID3A"
"120","ARID5A"
"121","ARMC2"
"122","ARMC9"
"123","ARNTL"
"124","ARPC1B"
"125","ARPC4"
"126","ARPP21"
"127","ARRB1"
"128","ARRDC3"
"129","ARSG"
"130","ARSJ"
"131","ASCC3"
"132","ASH2L"
"133","ASTN1"
"134","ATE1"
"135","ATF3"
"136","ATF6"
"137","ATG2A"
"138","ATG9A"
"139","ATM"
"140","ATOH8"
"141","ATP11B"
"142","ATP13A4"
"143","ATP5A1"
"144","ATP6V1B2"
"145","ATP8B4"
"146","ATXN1"
"147","ATXN2L"
"148","AVEN"
"149","AXL"
"150","AZIN2"
"151","B4GALT1"
"152","B4GALT2"
"153","B4GALT7"
"154","BACH1"
"155","BACH2"
"156","BAG5"
"157","BANK1"
"158","BBX"
"159","BCAR3"
"160","BCL2L11"
"161","BCL2L13"
"162","BCL2L2-PABPN1"
"163","BCL9"
"164","BEX1"
"165","BHLHE41"
"166","BID"
"167","BIN3"
"168","BLNK"
"169","BLOC1S1"
"170","BLVRA"
"171","BLVRB"
"172","BNC2"
"173","BORCS7"
"174","BRAT1"
"175","BRINP2"
"176","BTBD9"
"177","BTN3A1"
"178","BTN3A2"
"179","C10orf11"
"180","C11orf80"
"181","C12orf75"
"182","C12orf79"
"183","C14orf166"
"184","C14orf2"
"185","C15orf41"
"186","C16orf70"
"187","C16orf89"
"188","C18orf42"
"189","C1GALT1C1"
"190","C1orf162"
"191","C20orf194"
"192","C2orf73"
"193","C3"
"194","C3orf17"
"195","C3orf38"
"196","C5AR1"
"197","C5orf17"
"198","C6orf106"
"199","C6orf58"
"200","C8orf37"
"201","C9orf3"
"202","C9orf84"
"203","CA8"
"204","CABP1"
"205","CACNA1A"
"206","CALB1"
"207","CALCOCO1"
"208","CALCR"
"209","CAMK1D"
"210","CAMK2D"
"211","CAPG"
"212","CARD11"
"213","CARD14"
"214","CASP7"
"215","CAST"
"216","CBX6"
"217","CCBL2"
"218","CCDC144C"
"219","CCDC26"
"220","CCDC40"
"221","CCDC61"
"222","CCDC85B"
"223","CCM2"
"224","CCNA2"
"225","CCNB1IP1"
"226","CCND1"
"227","CCND3"
"228","CCNE2"
"229","CCNF"
"230","CCNH"
"231","CCP110"
"232","CCT4"
"233","CD14"
"234","CD163"
"235","CD276"
"236","CD300A"
"237","CD74"
"238","CD83"
"239","CDC27"
"240","CDCA7L"
"241","CDH20"
"242","CDKL5"
"243","CDYL"
"244","CEBPD"
"245","CECR6"
"246","CELF2"
"247","CEP350"
"248","CEP57L1"
"249","CEP68"
"250","CEP85L"
"251","CH17-262H22.1"
"252","CHD3"
"253","CHD4"
"254","CHGB"
"255","CHKA"
"256","CHML"
"257","CHN2"
"258","CHST11"
"259","CHST6"
"260","CHUK"
"261","CIC"
"262","CIITA"
"263","CISD1"
"264","CKAP5"
"265","CLCN5"
"266","CLCN7"
"267","CLINT1"
"268","CLIP2"
"269","CLSTN1"
"270","CLUAP1"
"271","CMIP"
"272","CMTM6"
"273","CNGA4"
"274","CNNM4"
"275","CNOT6"
"276","CNPY3"
"277","CNTNAP5"
"278","COA6"
"279","COA7"
"280","COIL"
"281","COL14A1"
"282","COL18A1"
"283","COL20A1"
"284","COPS2"
"285","COQ10B"
"286","COX10-AS1"
"287","COX5B"
"288","CPEB3"
"289","CPEB4"
"290","CPED1"
"291","CPM"
"292","CPOX"
"293","CPVL"
"294","CREBZF"
"295","CREG1"
"296","CREG2"
"297","CREM"
"298","CRLF3"
"299","CROCC"
"300","CRTC1"
"301","CSGALNACT1"
"302","CTB-129O4.1"
"303","CTB-12O2.1"
"304","CTB-131B5.5"
"305","CTC-419K13.1"
"306","CTC-428G20.4"
"307","CTC-513N18.7"
"308","CTC-542B22.2"
"309","CTC-546K23.1"
"310","CTC-559E9.1"
"311","CTD-2008L17.1"
"312","CTD-2034I4.1"
"313","CTD-2058B24.2"
"314","CTD-2119F7.2"
"315","CTD-2233K9.1"
"316","CTD-2245F17.3"
"317","CTD-2319I12.4"
"318","CTD-2339L15.1"
"319","CTD-2353F22.1"
"320","CTD-2353F22.2"
"321","CTD-2540C19.1"
"322","CTD-2547G23.4"
"323","CTD-3234P18.6"
"324","CTSB"
"325","CTSK"
"326","CTTN"
"327","CTTNBP2"
"328","CX3CR1"
"329","CXADR"
"330","CXCL12"
"331","CXorf57"
"332","CYB561A3"
"333","CYB5B"
"334","CYB5R3"
"335","CYBB"
"336","CYP2J2"
"337","CYSLTR1"
"338","CYTH4"
"339","DAAM1"
"340","DAB2"
"341","DACT3-AS1"
"342","DAD1"
"343","DAGLB"
"344","DARS"
"345","DBN1"
"346","DCAF6"
"347","DCPS"
"348","DCTD"
"349","DDI2"
"350","DDR2"
"351","DDX3Y"
"352","DDX47"
"353","DEGS1"
"354","DENND3"
"355","DENND4B"
"356","DENND5A"
"357","DENND6B"
"358","DEPTOR"
"359","DESI2"
"360","DFFA"
"361","DHCR7"
"362","DHRS9"
"363","DHX32"
"364","DHX40"
"365","DIO2"
"366","DIP2A"
"367","DIP2B"
"368","DISC1"
"369","DLD"
"370","DLEU1"
"371","DLEU7"
"372","DLG2"
"373","DMD"
"374","DMXL2"
"375","DNAH17"
"376","DNAJB11"
"377","DNAJC5"
"378","DNAJC6"
"379","DNAJC9"
