"","V1"
"1","AAMDC"
"2","AARS"
"3","ABCA1"
"4","ABCB10"
"5","ABCC8"
"6","ABCG1"
"7","ABCG2"
"8","ABHD12B"
"9","ABHD2"
"10","ABTB2"
"11","AC003991.3"
"12","AC005027.4"
"13","AC005537.2"
"14","AC005592.2"
"15","AC005752.10"
"16","AC007193.6"
"17","AC007228.5"
"18","AC007563.5"
"19","AC007682.1"
"20","AC008393.2"
"21","AC010746.2"
"22","AC012593.1"
"23","AC013267.2"
"24","AC013460.1"
"25","AC017074.2"
"26","AC027612.6"
"27","AC040963.1"
"28","AC064875.2"
"29","AC067956.1"
"30","AC073343.13"
"31","AC073479.1"
"32","AC074117.10"
"33","AC074141.3"
"34","AC074363.1"
"35","AC074391.1"
"36","AC079305.11"
"37","AC079610.1"
"38","AC083843.1"
"39","AC087886.1"
"40","AC090421.1"
"41","AC091814.2"
"42","AC093734.11"
"43","AC096559.1"
"44","AC096579.14"
"45","AC136007.2"
"46","ACACB"
"47","ACADL"
"48","ACADM"
"49","ACAP3"
"50","ACAT1"
"51","ACBD4"
"52","ACBD7"
"53","ACOT11"
"54","ACOT13"
"55","ACSL3"
"56","ACTB"
"57","ACTL6B"
"58","ADAM12"
"59","ADAM28"
"60","ADAM33"
"61","ADAMTS14"
"62","ADAMTS17"
"63","ADAMTS20"
"64","ADAMTS6"
"65","ADARB2"
"66","ADCK1"
"67","ADCK3"
"68","ADCY1"
"69","ADCY2"
"70","ADCY8"
"71","ADD3"
"72","ADGB"
"73","ADGRG1"
"74","ADGRL1"
"75","ADGRL3"
"76","ADGRV1"
"77","ADORA1"
"78","ADRA1A"
"79","ADRA1D"
"80","AFAP1L2"
"81","AFF3"
"82","AGAP6"
"83","AGPAT4"
"84","AJ003147.9"
"85","AJAP1"
"86","AK3"
"87","AKAP7"
"88","AKT1"
"89","AKT1S1"
"90","AL121656.4"
"91","AL450992.2"
"92","ALAD"
"93","ALDH1L1"
"94","ALDH1L2"
"95","ALDOC"
"96","ALG14"
"97","ALK"
"98","AMER2"
"99","AMZ1"
"100","ANGEL1"
"101","ANK2"
"102","ANK3"
"103","ANKFN1"
"104","ANKH"
"105","ANKHD1"
"106","ANKRD28"
"107","ANKRD33B"
"108","ANKRD36"
"109","ANKS1B"
"110","ANO3"
"111","ANO6"
"112","ANOS1"
"113","AP000233.4"
"114","AP000279.69"
"115","AP3B2"
"116","AP5M1"
"117","AP5Z1"
"118","APBB2"
"119","APC2"
"120","APH1B"
"121","APOD"
"122","APP"
"123","ARAP2"
"124","ARF4-AS1"
"125","ARHGAP15"
"126","ARHGAP18"
"127","ARHGAP21"
"128","ARHGAP24"
"129","ARHGAP29"
"130","ARHGAP31"
"131","ARHGAP35"
"132","ARHGAP5"
"133","ARHGEF12"
"134","ARHGEF2"
"135","ARHGEF38"
"136","ARHGEF6"
"137","ARID3B"
"138","ARL15"
"139","ARL4A"
"140","ARMC2"
"141","ARNT2"
"142","ARPP21"
"143","ARRB2"
"144","ARRDC2"
"145","ARSB"
"146","ARVCF"
"147","ASAP1"
"148","ASH2L"
"149","ASIC1"
"150","ASNA1"
"151","ASNS"
"152","ASPM"
"153","ATAD2B"
"154","ATAD3A"
"155","ATE1"
"156","ATF7"
"157","ATF7IP"
"158","ATG4C"
"159","ATIC"
"160","ATN1"
"161","ATP10A"
"162","ATP11B"
"163","ATP13A3"
"164","ATP13A4"
"165","ATP1B1"
"166","ATP1B2"
"167","ATP2B1"
"168","ATP2C2"
"169","ATP6V0A2"
"170","ATP6V0A4"
"171","ATP8A2"
"172","ATRNL1"
"173","ATXN1"
"174","AUTS2"
"175","AZIN2"
"176","B3GALT1"
