"","OPC","OLIG","AST","MG"
"CTD-2653D5.1",1,0,0,0
"CDCA2",1,0,0,0
"C3orf18",1,0,0,0
"RP11-862L9.3",1,0,0,0
"FGL1",1,0,0,0
"EBF1",1,0,1,0
"AC010746.2",1,0,0,1
"RP11-561C5.5",1,0,0,0
"IL20RA",1,0,0,0
"AC074117.10",1,0,0,0
"WWOX",1,0,0,0
"RP11-626P14.1",1,0,0,0
"AC002992.2",1,0,0,0
"PICK1",1,0,0,0
"RP11-385D13.3",1,0,0,0
"RP5-828H9.3",1,0,0,0
"EPN2",1,0,0,0
"RP11-706J10.1",1,0,0,0
"FAM134A",1,0,0,0
"PRKCD",1,0,0,0
"AL450992.2",1,0,0,0
"CCDC170",1,0,0,0
"RP11-1110F20.1",1,0,0,0
"LINC00216",1,0,0,0
"RP11-552M11.4",1,0,0,0
"AZGP1",1,0,0,0
"CDIPT",1,0,0,0
"PCDH12",1,0,0,0
"RP5-1065O2.4",1,0,0,0
"MRFAP1L1",1,0,0,0
"CD276",1,0,0,0
"RP11-1055B8.4",1,0,0,0
"CENPQ",1,0,0,0
"RP11-122G18.12",1,0,0,0
"RP11-182J1.14",1,0,0,0
"XKR4",1,1,0,0
"KATNA1",1,0,0,0
"GPNMB",1,0,0,0
"C9orf142",1,0,0,0
"ASNS",1,0,0,0
"AC040963.1",1,0,0,0
"LGI2",1,0,0,0
"NDUFB10",1,0,0,0
"ORAOV1",1,0,0,0
"RP11-284F21.7",1,0,0,0
"CHMP6",1,0,0,0
"KHNYN",1,0,0,0
"PPOX",1,0,0,0
"ATXN1",1,0,0,1
"PPT1",1,0,0,0
"TNP1",1,0,0,0
"RP11-295K3.1",1,0,0,0
"DNAH17",1,0,0,1
"CCDC24",1,0,0,0
"SNU13",1,0,0,0
"PLA2G7",1,0,0,1
"MCMDC2",1,0,0,0
"NUDT11",1,0,0,0
"RP11-893F2.13",1,0,0,0
"FOXP1",1,0,0,0
"RP11-277P12.6",1,0,0,0
"PCSK7",1,0,0,0
"SVOP",1,0,0,0
"RP11-728K20.2",1,0,0,0
"RP11-98O2.1",1,0,0,0
"SGCD",1,0,0,0
"LRP5L",1,0,0,0
"RP11-761E20.1",1,0,0,0
"GAL3ST4",1,0,0,1
"GAREM2",1,0,0,0
"HELZ2",1,0,0,0
"DDX17",1,0,0,0
"PHLDB2",1,0,0,0
"RP11-382J12.1",1,1,0,0
"RP11-52A20.2",1,0,0,0
"ATIC",1,0,0,0
"RP11-348N5.7",1,0,0,0
"EDIL3",1,1,0,0
"ACBD4",1,0,0,0
"RP11-114H23.1",1,0,0,0
"SKINT1L",1,0,0,0
"COL4A6",1,0,0,0
"ENTPD4",1,0,0,0
"NAPB",1,0,0,0
"DCUN1D4",1,0,0,0
"RP1-18D14.3",1,0,0,0
"ZNF687",1,0,0,0
"SCUBE1",1,0,0,0
"ALDOC",1,0,0,0
"RP11-15A1.4",1,0,0,0
"BEX5",1,0,0,0
"EFNA1",1,0,0,0
"FBXO25",1,0,0,0
"CTD-2010I16.2",1,0,0,0
"TMED11P",1,0,0,0
"EXOSC7",1,0,0,0
"CDH19",1,0,0,0
"SP140",1,0,0,0
"RP11-384P7.7",1,0,0,0
"CYP3A43",1,0,0,0
"PLEKHH2",1,0,0,0
"EIF1AY",1,0,0,0
"PIGB",1,0,0,0
"RP5-872K7.2",1,0,0,0
"RP11-124B13.1",1,0,0,0
"RP11-417L19.5",1,0,0,0
"PTPRD",1,0,0,0
"NOM1",1,0,0,0
"CTC-513N18.7",1,0,0,0
"KIF19",1,0,0,0
"CTD-2012J19.3",1,0,0,0
"HEATR5B",1,0,0,0
"ZNF630",1,0,0,0
"RP11-76I14.1",1,0,0,0
"ATAD3A",1,0,0,0
"RP11-927P21.6",1,0,0,0
"STK32B",1,0,0,0
"CTCF",1,0,0,0
"REL",1,0,0,0
"FAM47E",1,0,0,0
"ENAH",1,0,0,0
"MICAL3",1,0,0,1
"RP11-184D12.1",1,0,0,0
"ZNF599",1,0,0,0
"RP11-115D19.1",1,0,0,0
"CTC-340D7.1",1,0,0,0
"CTD-2196P11.1",1,0,0,0
"CES2",1,0,0,0
"POLR2D",1,0,0,0
"DLL3",1,0,0,0
"GSTM5",1,0,1,0
"GYPE",1,0,0,0
"LYST",1,0,0,0
"NDFIP2",1,0,1,1
"RP11-886H22.1",1,1,0,0
"RP11-814P5.1",1,0,0,0
"RBM23",1,0,0,0
"HIP1R",1,1,1,0
"UHRF1BP1L",1,0,0,0
"KIAA1257",1,0,1,0
"GRIA2",1,1,0,0
"HS3ST4",1,0,0,1
"TBXAS1",1,0,0,1
"USP54",1,0,1,0
"CCDC50",1,0,0,0
"GLDC",1,0,0,0
"RBMS1",1,1,0,0
"DYNC1LI2",1,0,0,0
"KIAA1549L",1,0,1,0
"SPOCK1",1,1,0,0
"ATN1",1,0,0,0
"TMEM109",1,0,0,0
"KIF13A",1,0,0,0
"LRRC2",1,0,0,0
"METTL22",1,0,0,0
"FTL",1,0,0,1
"FAM8A1",1,0,0,0
"CLCC1",1,0,0,0
"MUS81",1,0,0,0
"COPG2",1,0,1,0
"ITPKB",1,0,0,0
"AC096559.1",1,0,0,0
"SUFU",1,0,0,0
"PSKH1",1,0,0,0
"RPL34-AS1",1,0,0,0
"RP11-403A3.3",1,0,0,0
"WBSCR22",1,0,0,0
"GRIK3",1,0,0,0
"CTC-205M6.3",1,0,0,0
"GRAMD1C",1,0,0,0
"SYCP2",1,0,0,0
"DIAPH3",1,0,0,0
"LINC-PINT",1,0,0,0
"COPG1",1,0,0,0
"MEPCE",1,0,0,0
"RP11-57A19.7",1,0,0,0
"AL157871.2",1,0,0,0
"ABCB10",1,0,0,0
"SDC2",1,0,1,0
"ALDH1L2",1,0,0,0
"DAPL1",1,0,0,0
"PIP4K2C",1,0,0,0
"CKB",1,0,0,0
"PTPN9",1,0,0,0
"ATP10A",1,0,0,0
"NEURL1B",1,0,0,0
"ABCG2",1,0,0,0
"HABP4",1,0,0,0
"AC136007.2",1,0,0,0
"LRRK2",1,0,0,0
"RP11-142O6.1",1,0,0,0
"GMCL1",1,0,0,0
"PTPRN",1,0,0,0
"RP5-1043L13.1",1,0,0,0
"CCDC88A",1,0,0,0
"RNF103",1,0,0,0
"TEX14",1,0,0,0
"YME1L1",1,0,0,0
"MT-CO1",1,0,0,1
"AC073479.1",1,0,0,0
"NUCB2",1,0,0,0
"RP11-756G20.1",1,0,0,0
"MSH3",1,0,0,0
"IGF2BP2",1,0,0,0
"AC013267.2",1,0,0,0
"PLA2R1",1,0,0,0
"CTD-2054N24.2",1,0,1,0
"GATC",1,0,0,0
"NACC2",1,0,0,0
"DOCK5",1,0,1,1
"KLHL29",1,0,1,0
"SECISBP2L",1,0,0,0
"BRIP1",1,0,0,0
"C12orf42",1,0,0,0
"SIVA1",1,0,0,0
"CPT1A",1,0,0,0
"MSANTD3",1,0,0,0
"FAM102B",1,0,0,0
"FUNDC2",1,0,0,0
"RP11-694I15.7",1,0,0,0
"RP11-85M11.2",1,0,0,0
"ITM2B",1,1,0,0
"TIAM1",1,0,1,1
"CTC-431G16.2",1,0,0,0
"LINC00092",1,0,0,0
"NAV1",1,0,0,0
"RAPGEF4",1,0,0,0
"AC002116.7",1,0,0,0
"GRIN2A",1,0,0,0
"SEMA4D",1,0,0,1
"AC073343.13",1,0,0,0
"C11orf65",1,0,0,0
"NLRC4",1,0,0,0
"RPL13",1,1,1,0
"RP11-930O11.1",1,0,0,0
"DICER1",1,0,0,0
"CBFB",1,0,0,0
"LA16c-358B7.3",1,0,0,0
"RP11-10K16.1",1,0,0,0
"ARSB",1,0,0,0
"LCORL",1,0,0,1
"SZT2",1,0,0,0
"SLC22A17",1,1,0,0
"MYO5B",1,0,0,0
"CYB5D2",1,0,0,0
"SMG5",1,0,0,0
"SEM1",1,0,0,0
"DCAF13",1,0,0,0
"SLC15A4",1,0,0,0
"WASF1",1,0,0,0
"TMSB4X",1,0,0,0
"NALCN",1,0,0,0
"PPARD",1,0,0,0
"ZCCHC24",1,0,0,0
"GPALPP1",1,0,0,0
"CTTN",1,0,0,1
"RP11-389E17.1",1,0,0,0
"DACH2",1,0,0,0
"TLR10",1,0,0,1
"PCDH11X",1,1,0,0
"AC003991.3",1,0,0,0
"CCDC67",1,0,0,0
"LMNB1",1,0,0,0
"GHR",1,0,0,0
"NDUFS6",1,0,0,0
"TUFT1",1,0,0,0
"KIF18B",1,0,0,0
"COL19A1",1,0,0,0
"MOCS2",1,1,0,0
"OLMALINC",1,1,0,1
"GLRX2",1,0,0,0
"JPH1",1,0,0,0
"AL121656.4",1,0,1,0
"HERC2P3",1,1,1,1
"SLC16A10",1,0,0,0
"NCALD",1,0,0,0
"CXorf23",1,0,0,0
"RTKN",1,0,0,0
"PLAT",1,0,0,0
"BNIPL",1,0,0,0
"FBXW4",1,0,0,0
"MSI1",1,0,0,0
"AP001505.10",1,0,0,0
"DYNC1I2",1,0,0,0
"SOCS5",1,0,0,0
"RP11-18H7.1",1,0,0,0
"WASF2",1,0,0,1
"MT-ND1",1,0,0,0
"FMNL3",1,0,0,0
"BCAS3",1,0,0,0
"AP5M1",1,0,0,0
"RP11-123B3.2",1,0,0,0
"MT-RNR1",1,0,0,0
"DVL3",1,0,0,0
"PLXNB1",1,0,0,0
"CAMKMT",1,0,0,0
"SLC37A1",1,0,0,0
"USP43",1,0,0,0
"OXSM",1,0,0,0
"XXbac-BPG55C20.7",1,0,0,0
"NGEF",1,0,0,0
"SEMA5A",1,0,0,0
"KALP",1,1,1,1
"AC087886.1",1,0,0,0
"NRG3",1,0,0,0
"FAM53C",1,1,0,1
"LRIG1",1,0,1,0
"FGFR1",1,0,0,0
"FBXL12",1,0,0,0
"ABCA1",1,0,1,0
"SNAP91",1,0,0,0
"RP11-68I3.2",1,0,0,0
"NPAT",1,0,0,0
"CSF1R",1,0,0,0
"ZCCHC6",1,0,0,1
"APH1B",1,0,0,0
"RP11-472N13.3",1,0,0,0
"HSCB",1,0,0,0
"UNC5C",1,1,0,0
"RP1-79C4.4",1,0,0,0
"IPO8",1,0,0,0
"SAMHD1",1,0,0,0
"ITPR2",1,0,0,0
"ZYG11B",1,0,0,0
"RP11-50D16.4",1,0,0,1
"LRPPRC",1,0,0,0
"SREBF2",1,0,1,0
"FAM49A",1,0,0,0
"AC008937.2",1,0,0,1
"RP11-148G20.1",1,0,0,1
"CLIP4",1,0,0,0
"RP11-586K2.1",1,0,0,0
"WSCD1",1,1,0,0
"MATN2",1,1,0,0
"PPP2R5B",1,0,0,0
"ADARB2",1,1,0,0
"CREB5",1,0,0,0
"PNCK",1,0,0,0
"CENPV",1,0,0,0
"MIR137HG",1,0,0,0
"SUMF1",1,0,0,0
"PTN",1,1,0,0
"NEK11",1,0,0,0
"KCNQ3",1,0,0,1
"RP11-6J21.2",1,0,0,1
"ADCK3",1,0,0,0
"MMD",1,0,0,0
"FGFR3",1,0,0,0
"PKP2",1,0,0,0
"EYS",1,1,0,0
"GPC6",1,0,0,0
"SOCS4",1,0,0,0
