gene,coef,Celltype
CTD-2653D5.1,7.932052287,OPC
CDCA2,4.685641221,OPC
C3orf18,4.539523705,OPC
RP11-862L9.3,3.55181079,OPC
FGL1,3.480041983,OPC
EBF1,3.383672383,OPC
AC010746.2,3.128773098,OPC
RP11-561C5.5,2.825974375,OPC
IL20RA,2.811261287,OPC
AC074117.10,2.726087464,OPC
WWOX,2.60097927,OPC
RP11-626P14.1,2.573050917,OPC
AC002992.2,2.534846663,OPC
PICK1,2.371771707,OPC
RP11-385D13.3,2.333172614,OPC
RP5-828H9.3,2.324753153,OPC
EPN2,2.30523618,OPC
RP11-706J10.1,2.261517576,OPC
FAM134A,2.218008554,OPC
PRKCD,2.203913388,OPC
AL450992.2,2.19248467,OPC
CCDC170,2.186753606,OPC
RP11-1110F20.1,2.152579738,OPC
LINC00216,2.141421783,OPC
RP11-552M11.4,2.140432606,OPC
AZGP1,2.068389227,OPC
CDIPT,2.022369934,OPC
PCDH12,1.973929217,OPC
RP5-1065O2.4,1.905462257,OPC
MRFAP1L1,1.903528361,OPC
CD276,1.863114034,OPC
RP11-1055B8.4,1.794961739,OPC
CENPQ,1.780879036,OPC
RP11-122G18.12,1.780317928,OPC
RP11-182J1.14,1.777819952,OPC
XKR4,1.77160937,OPC
KATNA1,1.764693516,OPC
GPNMB,1.736047595,OPC
C9orf142,1.724703451,OPC
ASNS,1.722774367,OPC
AC040963.1,1.718350975,OPC
LGI2,1.707544934,OPC
NDUFB10,1.705940661,OPC
ORAOV1,1.685674297,OPC
RP11-284F21.7,1.684048767,OPC
CHMP6,1.67657799,OPC
KHNYN,1.636434875,OPC
PPOX,1.599706084,OPC
ATXN1,1.592458863,OPC
PPT1,1.584963486,OPC
TNP1,1.573208512,OPC
RP11-295K3.1,1.564935337,OPC
DNAH17,1.552691316,OPC
CCDC24,1.536718394,OPC
SNU13,1.533839029,OPC
PLA2G7,1.497432085,OPC
MCMDC2,1.493833283,OPC
NUDT11,1.45790103,OPC
RP11-893F2.13,1.44612494,OPC
FOXP1,1.389890356,OPC
RP11-277P12.6,1.383719281,OPC
PCSK7,1.371487423,OPC
SVOP,1.349456232,OPC
RP11-728K20.2,1.336044146,OPC
RP11-98O2.1,1.332907562,OPC
SGCD,1.332430197,OPC
LRP5L,1.320313321,OPC
RP11-761E20.1,1.318152899,OPC
GAL3ST4,1.317610282,OPC
GAREM2,1.312381295,OPC
HELZ2,1.31110839,OPC
DDX17,1.302537021,OPC
PHLDB2,1.301976437,OPC
RP11-382J12.1,1.292743612,OPC
RP11-52A20.2,1.29186793,OPC
ATIC,1.289108156,OPC
RP11-348N5.7,1.280016682,OPC
EDIL3,1.27840821,OPC
ACBD4,1.270716019,OPC
RP11-114H23.1,1.264991291,OPC
SKINT1L,1.261852675,OPC
COL4A6,1.261285128,OPC
ENTPD4,1.248218621,OPC
NAPB,1.232912664,OPC
DCUN1D4,1.21952227,OPC
RP1-18D14.3,1.215352705,OPC
ZNF687,1.196877594,OPC
SCUBE1,1.18910502,OPC
ALDOC,1.181597166,OPC
RP11-15A1.4,1.1771874,OPC
BEX5,1.171478114,OPC
EFNA1,1.170557183,OPC
FBXO25,1.168313396,OPC
CTD-2010I16.2,1.164859514,OPC
TMED11P,1.163527345,OPC
EXOSC7,1.148741799,OPC
CDH19,1.146223051,OPC
SP140,1.13973249,OPC
RP11-384P7.7,1.129374653,OPC
CYP3A43,1.115837478,OPC
PLEKHH2,1.110413288,OPC
EIF1AY,1.106910541,OPC
PIGB,1.100765809,OPC
RP5-872K7.2,1.094361109,OPC
RP11-124B13.1,1.090472622,OPC
RP11-417L19.5,1.084501635,OPC
PTPRD,1.083168213,OPC
NOM1,1.077992233,OPC
CTC-513N18.7,1.077106981,OPC
KIF19,1.060020328,OPC
CTD-2012J19.3,1.053641418,OPC
HEATR5B,1.049171709,OPC
ZNF630,1.04806336,OPC
RP11-76I14.1,1.047464503,OPC
ATAD3A,1.044289645,OPC
RP11-927P21.6,1.042027422,OPC
STK32B,1.037640155,OPC
CTCF,1.037216985,OPC
REL,1.034421805,OPC
FAM47E,1.034128294,OPC
ENAH,1.032253791,OPC
MICAL3,1.028202408,OPC
RP11-184D12.1,1.025096723,OPC
ZNF599,1.015976471,OPC
RP11-115D19.1,1.014932036,OPC
CTC-340D7.1,1.012935256,OPC
CTD-2196P11.1,1.01097414,OPC
CES2,1.005353913,OPC
POLR2D,1.005040186,OPC
DLL3,1.001960737,OPC
GSTM5,0.995866399,OPC
GYPE,0.989788924,OPC
LYST,0.98305101,OPC
NDFIP2,0.982328955,OPC
RP11-886H22.1,0.979789381,OPC
RP11-814P5.1,0.976258022,OPC
RBM23,0.974084745,OPC
HIP1R,0.973704763,OPC
UHRF1BP1L,0.968285531,OPC
KIAA1257,0.966354317,OPC
GRIA2,0.963758989,OPC
HS3ST4,0.959771035,OPC
TBXAS1,0.956854921,OPC
USP54,0.954039791,OPC
CCDC50,0.953501275,OPC
GLDC,0.951819059,OPC
RBMS1,0.947442233,OPC
DYNC1LI2,0.947098048,OPC
KIAA1549L,0.946937459,OPC
SPOCK1,0.940276621,OPC
ATN1,0.939814132,OPC
TMEM109,0.938332965,OPC
KIF13A,0.936802317,OPC
LRRC2,0.934563627,OPC
METTL22,0.934040634,OPC
FTL,0.932085705,OPC
FAM8A1,0.931209453,OPC
CLCC1,0.919771279,OPC
MUS81,0.919280248,OPC
COPG2,0.91265101,OPC
ITPKB,0.909919353,OPC
AC096559.1,0.90687089,OPC
SUFU,0.90335352,OPC
PSKH1,0.900300724,OPC
RPL34-AS1,0.887419246,OPC
RP11-403A3.3,0.887207456,OPC
WBSCR22,0.879502129,OPC
GRIK3,0.875134968,OPC
CTC-205M6.3,0.873359524,OPC
GRAMD1C,0.870683288,OPC
SYCP2,0.86745729,OPC
DIAPH3,0.867123015,OPC
LINC-PINT,0.861973152,OPC
COPG1,0.859233792,OPC
MEPCE,0.855196084,OPC
RP11-57A19.7,0.853864877,OPC
AL157871.2,0.846917959,OPC
ABCB10,0.843570022,OPC
SDC2,0.837551926,OPC
ALDH1L2,0.836124371,OPC
DAPL1,0.834399587,OPC
PIP4K2C,0.820947921,OPC
CKB,0.820715776,OPC
PTPN9,0.816629447,OPC
ATP10A,0.810285148,OPC
NEURL1B,0.809514822,OPC
ABCG2,0.805009864,OPC
HABP4,0.804175518,OPC
AC136007.2,0.802369536,OPC
LRRK2,0.80057739,OPC
