,gene,coef,Celltype
673,ERICH5,3.78065252585109,AST
479,RP11-582J16.4,3.394414074243,AST
412,PNPLA6,2.78280068840201,AST
9,AC004987.7,2.655519489419,AST
142,CYP4F11,2.60959617147171,AST
355,MYH15,2.58795418298684,AST
677,CYP4F12,2.48101939992808,AST
665,ZSCAN31,2.47442709138983,AST
172,EBF1,2.43061183875547,AST
669,RP11-346I3.4,2.42213802875588,AST
598,TMPRSS5,2.41215516758532,AST
150,DDB2,2.33265181935896,AST
676,RP11-806O11.1,2.13561938918222,AST
357,MYOZ2,2.0680711730233,AST
596,TMEM258,2.05712209639507,AST
250,HERC2P3,2.04187342575424,AST
659,ZNF777,1.96781458185785,AST
11,AC012309.5,1.91273104573243,AST
105,CD58,1.8847458975274,AST
529,SLC28A3,1.78405656249884,AST
225,GBP2,1.76501596350117,AST
285,KALP,1.73693669929956,AST
473,RP11-438E5.1,1.71382950910028,AST
92,CACNA2D3,1.67004389163072,AST
447,RGN,1.62539024763667,AST
318,LRIG1,1.58252795344394,AST
258,HPSE2,1.57818363162054,AST
211,FLRT2,1.57804952058183,AST
317,LMNA,1.56979832821185,AST
148,DCC,1.56863183585,AST
650,ZFYVE1,1.56463251130143,AST
259,HSD17B7P2,1.55662218699869,AST
356,MYO15B,1.55411859772103,AST
140,CUL9,1.54237125858863,AST
398,PCF11,1.51724300568432,AST
486,RP11-733C7.2,1.503343298255,AST
187,EPHA6,1.49209690398917,AST
122,CNOT1,1.48043984565241,AST
31,AL592183.1,1.45448255165595,AST
517,SERPINE2,1.44741360899941,AST
445,RBM28,1.40614344673205,AST
353,MUM1,1.38770587826727,AST
675,ZIC5,1.38327235307582,AST
129,CPM,1.38041885649215,AST
470,RP11-317N12.1,1.36333390226695,AST
200,FAM13B,1.35994146597924,AST
283,JAK1,1.35858109956107,AST
209,FKBP15,1.34342480669944,AST
324,LSM5,1.2712105514615,AST
418,PREP,1.26791973179506,AST
36,ANAPC5,1.24299169258628,AST
572,TBC1D17,1.23221445488982,AST
363,NCRNA00185,1.21808367003369,AST
95,CAMK2G,1.21415539931556,AST
10,AC006547.13,1.20041716093147,AST
603,TOM1,1.1938068826676,AST
268,IFI16,1.18753593028801,AST
414,POLR2G,1.18023723349335,AST
278,IQCK,1.17710457477537,AST
656,ZNF429,1.17644970947765,AST
251,HHATL,1.16412038993942,AST
39,ANKRD36,1.16218923449651,AST
443,RBBP6,1.14054640358606,AST
111,CHKB,1.13961020417104,AST
631,VAC14,1.11093698192248,AST
115,CIRBP,1.08643375642421,AST
189,ERCC6,1.08486476169051,AST
359,N4BP2L2,1.08220556790937,AST
79,C10orf11,1.071649644412,AST
591,TMBIM6,1.07125981818316,AST
272,IL1RAPL1,1.07050289151044,AST
630,UXS1,1.06101892736096,AST
474,RP11-441O15.3,1.05673083881746,AST
588,TLE4,1.05645564376742,AST
621,UBE2R2,1.05326719479228,AST
297,KHDRBS2,1.04021373691514,AST
577,TCF3,1.03247750768106,AST
382,NUDT6,1.01503870588088,AST
498,RPL13,1.00802104118955,AST
530,SLC38A2,0.996629797762615,AST
299,KIAA1257,0.990873071293971,AST
44,APOOL,0.988260185481106,AST
136,CTD-2201E18.3,0.987577792742628,AST
594,TMEM164,0.980988710868409,AST
511,SCYL3,0.973115385249885,AST
300,KIAA1549L,0.971490234821122,AST
554,ST6GAL1,0.959583044969901,AST
393,PAPSS1,0.957907286865477,AST
319,LRP1,0.956394164501096,AST
593,TMEM144,0.955233881169899,AST
583,THRA,0.953822957122007,AST
127,COPG2,0.953515324940711,AST
662,ZNF98,0.952880084476612,AST
372,NKTR,0.944428532957604,AST
228,GFAP,0.942072591260034,AST
518,SF1,0.939699286696846,AST
491,RP11-96H19.1,0.936776129594826,AST
514,SEMA3A,0.933224108057001,AST
12,AC016747.2,0.931990194607504,AST
461,RP11-116N8.1,0.92574086454151,AST
580,TF,0.923953986041241,AST
516,SENP2,0.919841417668981,AST
245,GSTM5,0.908896660633621,AST
646,YTHDC2,0.906175541313631,AST
501,RSRC1,0.904108612751037,AST
560,STX16,0.903626518330778,AST
442,RASGRP3,0.898524572420644,AST
50,ARHGEF3,0.89075486481964,AST
15,AC099057.8,0.887496939852634,AST
85,C1orf101,0.884899458461264,AST
206,FEZ1,0.88084364773966,AST
427,PSMB2,0.878640811779395,AST
550,SREBF2,0.869017526948322,AST
563,STYXL1,0.865208543028946,AST
147,DBX2,0.860096091419813,AST
431,QDPR,0.85166925435838,AST
169,DRAIC,0.848601572456734,AST
349,MT-ND4,0.846780202055291,AST
294,KCTD1,0.843304911073227,AST
468,RP11-259K15.3,0.842783354585559,AST
37,ANGPTL4,0.841593316903697,AST
247,HDAC10,0.833090583890254,AST
146,DAPK3,0.829566202918132,AST
573,TBCA,0.826963993976707,AST
16,ACER3,0.8267531806329,AST
337,MEF2D,0.821802220946947,AST
657,ZNF462,0.819434566077485,AST
426,PSD2,0.814839582952675,AST
274,INPP4A,0.811697275935339,AST
316,LMBR1,0.808134909455203,AST
464,RP11-179A16.1,0.806179538093711,AST
429,PURG,0.787654870888763,AST
