,gene,coef,Celltype
988,CH17-118O6.3,5.08406839615984,MG
816,TRMT112,4.63529195937174,MG
998,RP11-136K14.1,4.40955397379392,MG
978,TCIRG1,4.36951865743401,MG
945,C20orf197,4.26471650026738,MG
1029,BCL2A1,4.25051975587604,MG
956,MAP4K1,4.16727499374068,MG
1028,AL844908.5,3.93867841775952,MG
981,LSP1,3.87665576665688,MG
1030,FCMR,3.7944327933381,MG
1020,AF127577.11,3.43947890626354,MG
104,C18orf42,3.37573092831634,MG
497,NPM2,3.33855356842917,MG
986,AC109826.1,3.24773330429471,MG
1016,HHEX,2.93673915259617,MG
994,MSX1,2.86622424918432,MG
1027,ICOSLG,2.85859466893972,MG
995,PCDH18,2.8522112141452,MG
1007,RP11-165F24.3,2.79271944655238,MG
980,CTD-2035E11.5,2.78088634932485,MG
983,TMEM119,2.71089891410443,MG
636,RP11-175P13.3,2.69746943136961,MG
542,PHKA1,2.68333460676881,MG
950,CTD-2371O3.3,2.52498205906593,MG
949,CTC-428I3.1,2.45485169805868,MG
12,AC021016.8,2.44531934681591,MG
5,AC003080.4,2.44159060080988,MG
971,RP11-542K23.7,2.43625143389248,MG
304,GLRA3,2.40299525546899,MG
960,RNU6-268P,2.31968763395308,MG
954,IQGAP3,2.30897820162867,MG
178,CXorf57,2.29479057470952,MG
163,CTB-129O4.1,2.27145062920981,MG
225,ECM2,2.26581573814589,MG
529,PDCL2,2.2160671241617,MG
692,SAXO1,2.20985784306187,MG
984,CCL2,2.17357740499034,MG
987,RP11-493L12.2,2.16615275784605,MG
1018,TNFRSF13C,2.15106935660798,MG
792,TMEM106C,2.14739843011013,MG
386,KIF22,2.11273946352,MG
916,AC017076.5,2.06293990036969,MG
518,PAF1,2.05843267164289,MG
967,TLR7,2.03934760743573,MG
619,RNF181,2.03359421270499,MG
451,MMP26,2.01314582890376,MG
1014,RP11-543G18.1,2.01286945743054,MG
165,CTB-131B5.5,2.00962170333678,MG
