,gene,coef,Celltype
585,ZSWIM4,4.85499327612059,OLIG
588,CPB1,2.36913924592849,OLIG
208,GREB1L,2.1554773315361,OLIG
153,ERCC1,2.09137946897353,OLIG
399,RFT1,1.94948635334303,OLIG
374,PSMD14,1.91859435359652,OLIG
8,AC108142.1,1.91172849262757,OLIG
550,UTY,1.85814505003928,OLIG
104,COX5B,1.8516773328319,OLIG
436,RPL23,1.84399324029304,OLIG
315,NKX2-2,1.82652374907841,OLIG
213,GTF3C6,1.68501123066453,OLIG
547,USP53,1.68126699984178,OLIG
183,FOXK2,1.67628731960675,OLIG
428,RP11-729M20.1,1.64075295639,OLIG
472,SNRNP70,1.5812786219679,OLIG
127,DGKE,1.56631731963048,OLIG
241,KHDRBS3,1.5499472652972,OLIG
508,THAP6,1.53369142560431,OLIG
317,NMUR2,1.52707466851733,OLIG
121,DAP,1.48669075920951,OLIG
139,EDIL3,1.47317281781395,OLIG
122,DAP3,1.45898354391336,OLIG
532,TTC9C,1.44596961818637,OLIG
468,SMARCC1,1.43585476979891,OLIG
520,TOX3,1.43385510408342,OLIG
192,GAS2,1.40011350386216,OLIG
564,ZBED4,1.38163162338715,OLIG
231,INSR,1.38020882191231,OLIG
274,MATN2,1.37796104032955,OLIG
438,RPS29,1.34621788608064,OLIG
96,CMTM4,1.34273927770524,OLIG
316,NLN,1.31367931787207,OLIG
335,PCDH11X,1.30307324524531,OLIG
358,POM121,1.2963311734296,OLIG
303,NCSTN,1.29422002404506,OLIG
431,RP11-886H22.1,1.2603186523518,OLIG
477,SPOCK1,1.25586665720131,OLIG
424,RP11-553A10.2,1.25377064849849,OLIG
1,AATK,1.23956952845572,OLIG
30,AOAH,1.22616893962333,OLIG
507,TFAP2E,1.22252370988065,OLIG
351,PLEKHH1,1.21636699931733,OLIG
423,RP11-456A18.1,1.20183271432814,OLIG
177,FBXO32,1.1958250012952,OLIG
337,PCSK6,1.1930878293144,OLIG
129,DIMT1,1.18299782290758,OLIG
330,OLMALINC,1.17171778383214,OLIG
35,ARHGEF2,1.12984798272336,OLIG
118,CTD-2527I21.11,1.12572390406158,OLIG
493,SUGT1,1.12216015707584,OLIG
22,AL035209.2,1.10652169485218,OLIG
40,ASAP2,1.10063109346395,OLIG
219,HERC2P3,1.09716963184204,OLIG
161,FA2H,1.07959877522553,OLIG
181,FKBP5,1.0771748533711,OLIG
459,SH3BP5,1.07268456292952,OLIG
353,PLXNB3,1.06294527718012,OLIG
52,BCAT1,1.06291279926304,OLIG
373,PSAP,1.05570635590418,OLIG
77,CCNT2,1.05505417495544,OLIG
412,RP11-259K15.3,1.05054771919575,OLIG
43,ATF7IP,1.03770875048936,OLIG
71,CATSPERG,1.03716273289006,OLIG
407,RNFT2,1.03555470714294,OLIG
591,RP11-477J21.7,1.0353985080904,OLIG
131,DLAT,1.03436920392181,OLIG
251,LACC1,1.03250067431249,OLIG
180,FGGY,1.02230113757317,OLIG
61,C16orf88,1.00913844568955,OLIG
254,LAS1L,1.00043726623685,OLIG
75,CCDC149,0.996355775178156,OLIG
501,TBCB,0.99555976354738,OLIG
7,AC091969.1,0.981588721525827,OLIG
31,AP3M2,0.978685576859661,OLIG
