,gene,coef,Celltype
968,CTD-2653D5.1,7.93205228730856,OPC
956,CDCA2,4.68564122065529,OPC
121,C3orf18,4.53952370539404,OPC
712,RP11-862L9.3,3.55181079024525,OPC
313,FGL1,3.48004198262729,OPC
265,EBF1,3.38367238323477,OPC
11,AC010746.2,3.12877309751611,OPC
951,RP11-561C5.5,2.82597437521837,OPC
938,IL20RA,2.8112612870229,OPC
17,AC074117.10,2.72608746361983,OPC
893,WWOX,2.60097926968426,OPC
983,RP11-626P14.1,2.57305091681406,OPC
981,AC002992.2,2.53484666266984,OPC
578,PICK1,2.37177170696126,OPC
680,RP11-385D13.3,2.33317261360459,OPC
718,RP5-828H9.3,2.32475315280263,OPC
281,EPN2,2.30523617992987,OPC
963,RP11-706J10.1,2.26151757621033,OPC
294,FAM134A,2.21800855449004,OPC
605,PRKCD,2.20391338838574,OPC
52,AL450992.2,2.19248466997024,OPC
139,CCDC170,2.18675360645079,OPC
961,RP11-1110F20.1,2.15257973762404,OPC
931,LINC00216,2.14142178284454,OPC
691,RP11-552M11.4,2.1404326059764,OPC
973,AZGP1,2.06838922653597,OPC
157,CDIPT,2.02236993350472,OPC
559,PCDH12,1.97392921727879,OPC
946,RP5-1065O2.4,1.90546225681848,OPC
486,MRFAP1L1,1.90352836130548,OPC
150,CD276,1.863114034017,OPC
939,RP11-1055B8.4,1.79496173883352,OPC
163,CENPQ,1.7808790361306,OPC
654,RP11-122G18.12,1.78031792807376,OPC
662,RP11-182J1.14,1.77781995231628,OPC
895,XKR4,1.77160937040634,OPC
400,KATNA1,1.76469351605637,OPC
351,GPNMB,1.73604759473784,OPC
125,C9orf142,1.72470345066535,OPC
78,ASNS,1.722774367311,OPC
13,AC040963.1,1.71835097518844,OPC
435,LGI2,1.70754493395864,OPC
515,NDUFB10,1.70594066071128,OPC
547,ORAOV1,1.68567429748407,OPC
990,RP11-284F21.7,1.68404876709627,OPC
174,CHMP6,1.67657799023817,OPC
412,KHNYN,1.63643487535553,OPC
599,PPOX,1.59970608355718,OPC
92,ATXN1,1.59245886312787,OPC
