GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
26155        1     878083     904679      2       1  46531     -0.37756      0.64712
339451       1     885967     902599      1       1  46531     -0.40701        0.658
84808        1     909079     927473     21       3  46531       1.3089     0.095279
57801        1     932842     946608     14       2  46531       1.0533      0.14609
9636         1     938847     951420     12       1  46531        1.095      0.13676
375790       1     945503     992999      9       1  46531      0.92546      0.17736
54991        1    1015698    1061736     53       2  46531     -0.15064      0.55987
254173       1    1099286    1134815     36       4  46531      0.45057      0.32615
8784         1    1137388    1152163     12       1  46531     -0.18911        0.575
7293         1    1145206    1159703     38       1  46531     -0.77971      0.78222
51150        1    1150788    1177447     77       1  46531      -2.9268      0.99829
126792       1    1157629    1171921     62       1  46531      -3.0392      0.99881
388581       1    1176326    1192102      2       1  46531      -1.1635      0.87769
118424       1    1187792    1219234     32       2  46531     -0.75789      0.77574
6339         1    1205816    1228909     18       2  46531     -0.74504      0.77188
116983       1    1226264    1253304      8       1  46531     -0.95091      0.82918
126789       1    1233962    1248557      5       1  46531      -1.7863      0.96297
54973        1    1245465    1270067      9       2  46531      -0.9638      0.83243
80772        1    1250136    1265776      6       2  46531     -0.72698      0.76638
83756        1    1256726    1271344      9       2  46531      -1.0303      0.84857
1855         1    1269158    1294509     23       3  46531     -0.67398      0.74984
54587        1    1286571    1307183     60       3  46531      0.37785      0.35277
54998        1    1307610    1320818     29       5  46531     -0.20726       0.5821
81669        1    1319591    1344718     43       6  46531     -0.51319      0.69609
55052        1    1335776    1352693     33       4  46531     -0.54144       0.7059
643965       1    1351508    1364667      3       1  46531      0.23973      0.40527
441869       1    1352300    1366824      3       1  46531      0.23973      0.40527
219293       1    1368152    1407038     21       1  46531     -0.32196      0.62626
83858        1    1397139    1446352     32       4  46531    -0.032936      0.51314
55210        1    1437523    1471567     69       5  46531     -0.10157      0.54045
339453       1    1468658    1485740     25       3  46531    -0.089636      0.53571
29101        1    1475553    1520262     68       4  46531    -0.041657      0.51661
728661       1    1589986    1634243     13       1  46531    -0.039579      0.51579
728642       1    1632322    1665999     51       2  46531      -2.4715      0.99327
9906         1    1654777    1687438     49       4  46531      -1.3251      0.90743
65220        1    1681171    1721508     57       5  46531      -1.6441      0.94992
2782         1    1715225    1832552    110       9  46531      -1.3735       0.9152
163688       1    1836266    1850233     23       3  46531     -0.86473      0.80641
339456       1    1847529    1860740     25       3  46531     -0.82726      0.79595
85452        1    1851890    1945276    200      14  46531       1.3037     0.096166
2563         1    1940768    1963692     24       2  46531       1.2027      0.11455
5590         1    1971909    2118334    264      13  46531     -0.95046      0.82906
100506504    1    2111750    2125812      9       2  46531      0.37247      0.35477
199990       1    2114399    2154159     32       5  46531      0.57454       0.2828
6497         1    2150134    2243152     86       9  46531       0.7498      0.22669
79906        1    2250219    2333190     39       7  46531      0.35279      0.36212
11079        1    2313214    2338383     11       2  46531     -0.96006      0.83149
5192         1    2334741    2354010     14       3  46531      -0.6347      0.73719
9651         1    2397754    2438464     24       3  46531       0.8546      0.19639
55229        1    2438475    2468061     25       2  46531     -0.68736      0.75407
388585       1    2458684    2471684     14       2  46531       0.5958      0.27565
8764         1    2477291    2496768     26       3  46531       2.2522     0.012154
127281       1    2507899    2524408     46       5  46531       2.0461     0.020375
79258        1    2520578    2574499    150       6  46531       1.7158     0.043099
100287898    1    2571307    2716230    192      10  46531       1.9432     0.025993
140625       1    2928046    2940967     20       2  46531      0.26852      0.39415
63976        1    2975565    3356685    568      64  46531       1.1897      0.11708
27237        1    3361147    3399177     98       8  46531      0.88616      0.18777
1953         1    3403006    3538059     30       5  46531      0.90567      0.18256
127262       1    3531556    3548195     46       6  46531      0.71048       0.2387
49856        1    3545831    3576671     54       9  46531     -0.17418      0.56914
7161         1    3559129    3654265     42       9  46531     -0.16089      0.56391
148870       1    3658965    3689709     63       7  46531     -0.98856      0.83856
388588       1    3679352    3694046     38       9  46531     -0.60656      0.72793
57470        1    3695284    3723068    125      15  46531     -0.73397      0.76852
9731         1    3727145    3783797    300      14  46531      -1.6335      0.94882
1677         1    3763845    3803493    162      16  46531      -1.4249       0.9229
339448       1    3804197    3826857     65       7  46531     -0.40668      0.65788
55966        1    4705105    4845351    453      58  46531      -1.1866      0.88231
261734       1    5921370    6062618    358      15  46531      0.56242      0.28691
8514         1    6042358    6162753    138      18  46531      0.97221      0.16547
26038        1    6160347    6250194    182      20  46531      0.28762      0.38682
6146         1    6243580    6269679     10       1  46531       1.7543      0.03969
388591       1    6256189    6282859      2       1  46531      0.71389      0.23765
23463        1    6279753    6306044      3       1  46531      0.63944      0.26127
390992       1    6294252    6307138      2       1  46531      0.84231      0.19981
387509       1    6305906    6331035      6       1  46531      0.84702      0.19849
11332        1    6322832    6463826    348      16  46531     -0.65057      0.74234
54626        1    6473792    6494724     61       6  46531      -1.3325      0.90865
83715        1    6474836    6522504     85       7  46531      -1.7629      0.96105
8718         1    6519287    6537432     28       4  46531     -0.57566      0.71758
57449        1    6524652    6590121    106      10  46531       1.0074      0.15687
79707        1    6579907    6624658    120       2  46531      0.91955      0.17891
80835        1    6604987    6641317     66       4  46531      0.77155      0.22019
3104         1    6630051    6650840     22       8  46531       1.0203      0.15378
9903         1    6649284    6672958     38       9  46531      0.70098      0.24166
148479       1    6663756    6685593     32       6  46531      0.48353      0.31436
90326        1    6674925    6697146     47       6  46531      0.39751       0.3455
55735        1    6692728    6771966    164      15  46531      0.39776       0.3454
23261        1    6835384    7831266   2072     141  46531      0.23801      0.40594
9341         1    7821329    7842992     50      11  46531       1.2568      0.10441
8863         1    7834413    7906741    252      20  46531         0.12      0.45224
10911        1    7906172    7923551     82      16  46531     -0.26757      0.60548
3604         1    7974431    8013225     64       7  46531      -1.3267      0.90769
11315        1    8011714    8046842     49       5  46531     -0.17412      0.56911
54206        1    8070279    8096393     33       4  46531     -0.59298       0.7234
50651        1    8368171    8405727    105      14  46531     -0.74793      0.77275
473          1    8410964    8887699    597      17  46531       2.1757     0.014789
2023         1    8919559    8949151     41       5  46531       1.6181     0.052825
765          1    8995893    9036651     76      14  46531      0.13554      0.44609
155184       1    9061859    9096404     77      12  46531       2.1118     0.017351
6518         1    9095505    9141763    143      16  46531      0.82434      0.20487
80045        1    9161972    9199229     63       7  46531     -0.60276      0.72667
9563         1    9284822    9332896    108      12  46531     -0.56588      0.71426
80176        1    9325202    9431091    277      36  46531      0.13519      0.44623
84275        1    9589528    9644331     53       3  46531    -0.080644      0.53214
199953       1    9638932    9676435     33       4  46531        -1.09      0.86215
5293         1    9701789    9790672    104      14  46531     -0.32102       0.6259
22883        1    9787579    9894550    105       6  46531      0.20617      0.41833
56998        1    9906834    9980316     45       5  46531     -0.06577      0.52622
84328        1    9980668   10013460     61       7  46531     -0.97541      0.83532
64802        1    9993486   10047056     85      10  46531      -0.7414      0.77078
116362       1   10047255   10077578     54       6  46531      -0.2452      0.59685
10277        1   10083041   10242797    270      12  46531      0.18514      0.42656
23095        1   10260606   10443164    545      13  46531     0.097452      0.46118
5226         1   10448884   10482065     71       8  46531      0.58863      0.27806
378708       1   10479944   10511739     75       6  46531     -0.65507      0.74379
100526739    1   10480159   10513560     78       6  46531     -0.63037      0.73578
1325         1   10499776   10513560     20       3  46531    -0.093194      0.53713
1676         1   10519088   10542613     26       4  46531      -1.6258      0.94801
5195         1   10525003   10692315    293      15  46531      -1.3677      0.91429
54897        1   10695161   10866733    130      20  46531     -0.51859      0.69798
148345       1   11005030   11052094    139      12  46531     -0.40884      0.65867
23435        1   11062462   11087049     41       4  46531       1.2506      0.10554
10747        1   11085080   11117296     57       5  46531       2.2013     0.013856
6723         1   11113149   11130091     44       3  46531       2.4352    0.0074412
5394         1   11125175   11169961    122       5  46531       2.1601     0.015382
2475         1   11165088   11332614    298       6  46531       2.3117     0.010396
10218        1   11239346   11257538     25       2  46531       1.4464     0.074035
29914        1   11323255   11349991     13       3  46531       3.0237    0.0012487
57540        1   11529295   11599140    151      12  46531      0.58571      0.27903
93611        1   11704432   11724884      3       1  46531     -0.67891       0.7514
26232        1   11706424   11724888      2       1  46531     -0.28171      0.61092
26270        1   11714150   11735911     10       2  46531    -0.053956      0.52151
10459        1   11733037   11761678     28       6  46531      0.40989      0.34094
374946       1   11741781   11781836     49       7  46531      0.81277      0.20817
57085        1   11786142   11812328      1       1  46531       1.8863      0.02963
284498       1   11813827   11851142    148      10  46531        1.186       0.1178
4524         1   11844287   11876160    141      10  46531       1.8153     0.034738
1185         1   11856153   11904701    243      14  46531        1.796      0.03625
4878         1   11904266   11917840     39       6  46531      0.38142      0.35145
4879         1   11916021   11928992     42       7  46531      -1.0537      0.85399
90231        1   11978145   11996485     45       9  46531      -1.3541      0.91214
5351         1   11984724   12037099    118      11  46531      -1.5414       0.9384
9927         1   12030238   12075072    105       8  46531     -0.86657      0.80691
60672        1   12069299   12093606     49       9  46531      -2.0439      0.97952
943          1   12113434   12205764     89      16  46531     -0.01986      0.50792
7133         1   12217044   12270779     98       9  46531      -1.3869      0.91726
55187        1   12280101   12573599    259      10  46531      -1.3293      0.90813
9249         1   12626439   12687820    114      19  46531      0.48575      0.31357
343066       1   12694566   12728597     23       2  46531      -1.4213      0.92239
126767       1   12766118   12790226     58       7  46531      -1.7562      0.96047
93190        1   12796163   12822602     79       6  46531      -1.5592      0.94053
390999       1   12824984   12839549     42       6  46531      -1.5823       0.9432
