GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     881461     84      14  413466      0.80867      0.20935
26155        1     878083     904679     76      11  413466       1.5656     0.058724
339451       1     885967     902599     52       8  413466       1.5503     0.060537
84069        1     891872     911988     58      14  413466       1.3936     0.081725
84808        1     909079     927473     68      11  413466      -1.4348      0.92433
57801        1     932842     946608     39       8  413466      -1.6733      0.95287
9636         1     938847     951420     29       5  413466      -1.6815      0.95367
375790       1     945503     992999    110      13  413466        -2.15      0.98422
401934       1    1005626    1019687     36       5  413466      0.54461      0.29301
54991        1    1015698    1061736    163      15  413466     -0.69818      0.75747
254173       1    1099286    1134815    166      23  413466     -0.36172      0.64122
8784         1    1137388    1152163     48       8  413466    -0.012477      0.50498
7293         1    1145206    1159703     69       7  413466      0.44035      0.32984
51150        1    1150788    1177447    130       9  413466      0.58899      0.27794
126792       1    1157629    1171921     86       6  413466      0.51963      0.30166
388581       1    1176326    1192102     47       7  413466        1.383     0.083336
118424       1    1187792    1219234     99      12  413466      0.11352      0.45481
6339         1    1205816    1228909     78      14  413466      -0.2688      0.60596
116983       1    1226264    1253304     57      12  413466      0.65722      0.25552
126789       1    1233962    1248557     28       7  413466      0.88633      0.18772
54973        1    1245465    1270067     46       9  413466       1.1129      0.13287
80772        1    1250136    1265776     34       6  413466       1.1328      0.12865
83756        1    1256726    1271344     39       8  413466       1.1064      0.13429
1855         1    1269158    1294509     60      10  413466      0.89014      0.18669
54587        1    1286571    1307183     91      10  413466      0.93193      0.17569
54998        1    1307610    1320818     49       7  413466      0.79292      0.21391
81669        1    1319591    1344718     50      10  413466      0.63262      0.26349
55052        1    1335776    1352693     39       6  413466      0.44402      0.32852
643965       1    1351508    1364667     48       7  413466     -0.39746      0.65449
441869       1    1352300    1366824     53       8  413466     -0.37361      0.64565
64856        1    1360903    1379762     46       8  413466      0.69967      0.24207
219293       1    1368152    1407038     72      12  413466       1.2395      0.10758
83858        1    1397139    1446352     58      15  413466       1.9217     0.027321
55210        1    1437523    1471567     78      12  413466       1.8026     0.035726
339453       1    1468658    1485740     36       8  413466       1.7696     0.038398
29101        1    1475553    1520262    141      15  413466       1.9859     0.023525
643988       1    1531888    1545476     25       6  413466       1.1694      0.12112
142678       1    1540795    1567490     58      10  413466       2.0116      0.02213
8510         1    1557060    1571530     19       5  413466       2.7342    0.0031267
984          1    1569600    1600473     28       4  413466       2.3131     0.010358
728661       1    1589986    1634243     61      12  413466       1.9959      0.02297
728642       1    1632322    1665999     50       5  413466       1.7562     0.039524
9906         1    1654777    1687438     45       8  413466     -0.06251      0.52492
65220        1    1681171    1721508     80      11  413466       1.1851        0.118
2782         1    1715225    1832552    150      20  413466       1.8891     0.029439
163688       1    1836266    1850233     32       6  413466       2.4146    0.0078769
339456       1    1847529    1860740     50       6  413466       1.5928     0.055604
85452        1    1851890    1945276    333      26  413466       3.2309   0.00061711
2563         1    1940768    1963692     55       8  413466       1.3163     0.094038
5590         1    1971909    2118334    401      32  413466       2.6807    0.0036737
100506504    1    2111750    2125812     22       7  413466       2.6763    0.0037224
199990       1    2114399    2154159     68      16  413466       2.9649    0.0015139
6497         1    2150134    2243152    236      41  413466       1.6256     0.052012
79906        1    2250219    2333190    321      38  413466      0.46035      0.32263
11079        1    2313214    2338383     64      18  413466       1.2505      0.10557
5192         1    2334741    2354010     61      18  413466       1.2295      0.10945
9651         1    2397754    2438464     95      22  413466       3.8021   7.1743e-05
55229        1    2438475    2468061     73      11  413466       1.0968      0.13637
388585       1    2458684    2471684     38       9  413466      0.56854      0.28483
8764         1    2477291    2496768     33       7  413466      0.70756      0.23961
127281       1    2507899    2524408     42       7  413466       1.4106     0.079175
79258        1    2520578    2574499    170      11  413466       1.9073     0.028239
100287898    1    2571307    2716230     96      10  413466        1.343      0.08963
140625       1    2928046    2940967     28       4  413466   -0.0071786      0.50286
63976        1    2975565    3356685   1371     162  413466       2.8828    0.0019707
27237        1    3361147    3399177    135      15  413466      0.78827      0.21527
1953         1    3403006    3538059    534      76  413466     -0.65673      0.74432
127262       1    3531556    3548195     68      11  413466       1.6498     0.049494
49856        1    3545831    3576671     66      15  413466       1.0046      0.15753
7161         1    3559129    3654265    304      48  413466     -0.32558      0.62763
148870       1    3658965    3689709     90      15  413466      0.23782      0.40601
388588       1    3679352    3694046     60      16  413466       1.1008      0.13548
57470        1    3695284    3723068    141      20  413466       1.0952      0.13672
9731         1    3727145    3783797    334      19  413466       1.1553      0.12399
1677         1    3763845    3803493    252      25  413466      0.53669      0.29574
339448       1    3804197    3826857     80      11  413466       1.9528     0.025423
55966        1    4705105    4845351    664      80  413466      0.41645      0.33854
261734       1    5921370    6062618    422      21  413466      -1.0754      0.85889
8514         1    6042358    6162753    330      49  413466    -0.098493      0.53923
26038        1    6160347    6250194    284      30  413466      -0.2984       0.6173
6146         1    6243580    6269679     59      12  413466       1.2547      0.10479
388591       1    6256189    6282859     60      10  413466       1.2054      0.11402
23463        1    6279753    6306044     50       9  413466   -0.0071834      0.50287
390992       1    6294252    6307138     21       6  413466      0.28148      0.38917
387509       1    6305906    6331035     61       8  413466     -0.71237      0.76188
11332        1    6322832    6463826    443      26  413466      0.38703      0.34937
54626        1    6473792    6494724     71       8  413466      0.29544      0.38383
83715        1    6474836    6522504    128      13  413466       0.6624      0.25386
8718         1    6519287    6537432     45       9  413466       2.6063    0.0045763
57449        1    6524652    6590121    156      23  413466         2.06     0.019699
79707        1    6579907    6624658    118       4  413466      0.28147      0.38917
80835        1    6604987    6641317     84       7  413466      0.88453      0.18821
3104         1    6630051    6650840     27      10  413466       2.9875    0.0014065
9903         1    6649284    6672958     43      11  413466       4.3156   7.9577e-06
148479       1    6663756    6685593     32       7  413466       3.8585   5.7053e-05
90326        1    6674925    6697146     50       8  413466       4.6512   1.6501e-06
55735        1    6692728    6771966    164      17  413466       5.2416   7.9601e-08
23261        1    6835384    7831266   2669     208  413466         1.42     0.077804
9341         1    7821329    7842992     52      12  413466      0.65622      0.25584
8863         1    7834413    7906741    247      29  413466      0.35041      0.36301
10911        1    7906172    7923551     81      17  413466      0.41156      0.34033
3604         1    7974431    8013225     70       9  413466      -0.7474      0.77259
11315        1    8011714    8046842     62       9  413466    -0.013046       0.5052
54206        1    8070279    8096393     37       6  413466      0.47451      0.31757
50651        1    8368171    8405727    107      15  413466       4.9381   3.9441e-07
473          1    8410964    8887699    674      24  413466       4.6354   1.7813e-06
2023         1    8919559    8949151     44       7  413466       1.9208     0.027375
765          1    8995893    9036651    154      35  413466      0.23351      0.40768
155184       1    9061859    9096404    123      24  413466     -0.29489      0.61596
6518         1    9095505    9141763    134      19  413466     -0.53224      0.70272
80045        1    9161972    9199229     72      10  413466       1.7559     0.039552
9563         1    9284822    9332896    132      20  413466      0.55111      0.29078
80176        1    9325202    9431091    467      65  413466       1.6357     0.050949
84275        1    9589528    9644331     70       8  413466     -0.50628      0.69367
199953       1    9638932    9676435     41       7  413466     -0.65392      0.74342
5293         1    9701789    9790672    159      28  413466      0.86513      0.19348
22883        1    9787579    9894550    145      15  413466     -0.34766      0.63595
56998        1    9906834    9980316     79      13  413466      -1.0057      0.84273
84328        1    9980668   10013460     65      10  413466     -0.75202      0.77398
64802        1    9993486   10047056     92      13  413466    -0.056829      0.52266
116362       1   10047255   10077578     57       7  413466      0.54643      0.29239
10277        1   10083041   10242797    303      17  413466      0.21187       0.4161
23095        1   10260606   10443164    574      16  413466       1.5129     0.065157
5226         1   10448884   10482065     84      12  413466       1.3744     0.084663
378708       1   10479944   10511739     88      11  413466      0.28048      0.38955
100526739    1   10480159   10513560     91      11  413466      0.27561      0.39143
1325         1   10499776   10513560     26       5  413466      0.19968      0.42087
1676         1   10519088   10542613     28       5  413466      0.29677      0.38332
5195         1   10525003   10692315    369      28  413466     -0.42232      0.66361
54897        1   10695161   10866733    460      86  413466      0.44487      0.32821
148345       1   11005030   11052094    163      20  413466     -0.37565      0.64641
23435        1   11062462   11087049     50       7  413466       2.7411    0.0030617
10747        1   11085080   11117296     70       9  413466       1.6802     0.046459
6723         1   11113149   11130091     37       4  413466    -0.097612      0.53888
5394         1   11125175   11169961    127       6  413466     0.057153      0.47721
2475         1   11165088   11332614    352      11  413466     0.014197      0.49434
10218        1   11239346   11257538     33       4  413466      0.49898       0.3089
29914        1   11323255   11349991     50       9  413466      0.17148      0.43192
57540        1   11529295   11599140    169      16  413466       3.0326    0.0012123
93611        1   11704432   11724884     55      18  413466       1.0783      0.14045
26232        1   11706424   11724888     49      17  413466       1.2005      0.11497
26270        1   11714150   11735911     59      13  413466      0.75059      0.22645
10459        1   11733037   11761678     94      20  413466      0.42175       0.3366
374946       1   11741781   11781836    114      24  413466       1.7417     0.040779
57085        1   11786142   11812328     71      14  413466      0.94721      0.17177
284498       1   11813827   11851142    169      15  413466       1.3641      0.08627
4524         1   11844287   11876160    145      12  413466       1.1025      0.13513
1185         1   11856153   11904701    237      16  413466      0.84158      0.20001
4878         1   11904266   11917840     44      10  413466      0.31547       0.3762
4879         1   11916021   11928992     43       8  413466      0.24143      0.40461
90231        1   11978145   11996485     47      11  413466       0.7634      0.22261
