GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     881461     83      13  413466     -0.12388       0.5493
26155        1     878083     904679     72      10  413466      -1.7707       0.9617
339451       1     885967     902599     48       7  413466      -1.4372      0.92467
84069        1     891872     911988     55      13  413466     -0.58646      0.72122
84808        1     909079     927473     68      11  413466       1.3463     0.089111
57801        1     932842     946608     39       8  413466       1.6362     0.050897
9636         1     938847     951420     29       5  413466       1.0988      0.13593
375790       1     945503     992999    108      12  413466       1.5131     0.065124
401934       1    1005626    1019687     35       5  413466       1.9305     0.026775
54991        1    1015698    1061736    162      15  413466       1.5483     0.060769
254173       1    1099286    1134815    166      23  413466      0.31456      0.37655
8784         1    1137388    1152163     48       8  413466       2.3085     0.010485
7293         1    1145206    1159703     69       7  413466       2.7133    0.0033307
51150        1    1150788    1177447    129       8  413466       2.7164    0.0033003
126792       1    1157629    1171921     86       6  413466       2.6744    0.0037431
388581       1    1176326    1192102     47       7  413466       2.0377     0.020788
118424       1    1187792    1219234     96      12  413466     -0.41655       0.6615
6339         1    1205816    1228909     76      14  413466     -0.20069      0.57953
116983       1    1226264    1253304     55      11  413466    -0.067966      0.52709
126789       1    1233962    1248557     27       7  413466    -0.047768      0.51905
54973        1    1245465    1270067     45       8  413466      0.37157      0.35511
80772        1    1250136    1265776     33       6  413466       0.3211      0.37407
83756        1    1256726    1271344     39       8  413466      0.59873      0.27468
1855         1    1269158    1294509     60      10  413466      0.39203      0.34752
54587        1    1286571    1307183     91      10  413466       0.1853       0.4265
54998        1    1307610    1320818     49       7  413466     0.071737      0.47141
81669        1    1319591    1344718     50      10  413466      0.94905       0.1713
55052        1    1335776    1352693     39       6  413466      0.61629      0.26885
643965       1    1351508    1364667     48       7  413466     -0.79177      0.78575
441869       1    1352300    1366824     53       8  413466     -0.86608      0.80678
64856        1    1360903    1379762     46       8  413466     -0.77933      0.78211
219293       1    1368152    1407038     68      11  413466      -1.0624      0.85597
83858        1    1397139    1446352     58      15  413466     -0.20238      0.58019
55210        1    1437523    1471567     78      12  413466     -0.90635      0.81762
339453       1    1468658    1485740     36       8  413466     -0.98134      0.83679
29101        1    1475553    1520262    138      14  413466      -2.1371       0.9837
643988       1    1531888    1545476     25       6  413466       3.0541    0.0011288
142678       1    1540795    1567490     58      10  413466       3.0371    0.0011945
8510         1    1557060    1571530     19       5  413466       3.0286    0.0012285
984          1    1569600    1600473     28       4  413466       1.5957     0.055282
728661       1    1589986    1634243     61      12  413466       3.2066   0.00067161
728642       1    1632322    1665999     50       5  413466       1.5803     0.057016
9906         1    1654777    1687438     45       8  413466       2.9479    0.0015997
65220        1    1681171    1721508     80      11  413466       2.2198     0.013216
2782         1    1715225    1832552    146      19  413466       2.0079     0.022328
163688       1    1836266    1850233     31       6  413466        2.421    0.0077389
339456       1    1847529    1860740     50       6  413466        1.683     0.046189
85452        1    1851890    1945276    332      27  413466      0.97158      0.16563
2563         1    1940768    1963692     55       8  413466      -1.1474       0.8744
5590         1    1971909    2118334    397      30  413466       2.1098     0.017439
100506504    1    2111750    2125812     21       6  413466       2.1135     0.017277
199990       1    2114399    2154159     67      16  413466       2.0112      0.02215
6497         1    2150134    2243152    235      41  413466       1.3078     0.095471
79906        1    2250219    2333190    321      41  413466      -1.3102      0.90493
11079        1    2313214    2338383     63      18  413466     -0.86507       0.8065
5192         1    2334741    2354010     62      18  413466      0.54695      0.29221
9651         1    2397754    2438464     93      22  413466       1.4524     0.073197
55229        1    2438475    2468061     72      11  413466       2.1071     0.017553
388585       1    2458684    2471684     38       9  413466       2.3757    0.0087584
8764         1    2477291    2496768     33       7  413466       3.4858   0.00024537
127281       1    2507899    2524408     42       7  413466       3.9222   4.3881e-05
