GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
148398       1     849993     881461    121      15  194548      0.36386      0.35798
26155        1     878083     904679     78       9  194548      0.58317      0.27989
339451       1     885967     902599     56       7  194548       0.5761      0.28227
84069        1     891872     911988     77      11  194548      0.50032      0.30842
84808        1     909079     927473     66      11  194548     -0.13272      0.55279
57801        1     932842     946608     37       7  194548     -0.59927       0.7255
9636         1     938847     951420     26       5  194548     -0.59002      0.72241
375790       1     945503     992999    100      10  194548     0.033469      0.48665
401934       1    1005626    1019687     36       4  194548      0.53649      0.29581
54991        1    1015698    1061736    145       7  194548      0.40388      0.34315
254173       1    1099286    1134815    143      13  194548      0.12395      0.45068
8784         1    1137388    1152163     43       6  194548     0.071049      0.47168
7293         1    1145206    1159703     60       5  194548      0.17044      0.43233
51150        1    1150788    1177447    109       4  194548      0.14742       0.4414
126792       1    1157629    1171921     76       2  194548       0.1303      0.44817
388581       1    1176326    1192102     45       3  194548      0.19679        0.422
118424       1    1187792    1219234     50       7  194548      0.52905      0.29838
6339         1    1205816    1228909     61       9  194548      0.16472      0.43458
116983       1    1226264    1253304     60       7  194548     -0.24651      0.59736
126789       1    1233962    1248557     24       4  194548   -0.0047924      0.50191
54973        1    1245465    1270067     34       4  194548     -0.18465      0.57325
80772        1    1250136    1265776     27       3  194548      -0.3458      0.63525
83756        1    1256726    1271344     28       4  194548     -0.11227       0.5447
1855         1    1269158    1294509     44       4  194548    -0.094247      0.53754
54587        1    1286571    1307183    102       4  194548     -0.56345      0.71344
54998        1    1307610    1320818     46       3  194548      0.82696      0.20413
81669        1    1319591    1344718     43       5  194548      0.76792      0.22127
55052        1    1335776    1352693     41       4  194548      0.70204      0.24133
643965       1    1351508    1364667     47       4  194548       1.2005      0.11498
441869       1    1352300    1366824     51       4  194548       1.2085      0.11342
64856        1    1360903    1379762     43       7  194548     0.093087      0.46292
219293       1    1368152    1407038    117      10  194548      0.65999      0.25463
