GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
81399        1     619596     632034      3       1   74004     0.014565      0.49419
148398       1     849993     881461     82      14  330022      0.80989        0.209
26155        1     878083     904679     84      16  368118      0.34829      0.36381
339451       1     885967     902599     59      11  360902      0.17085      0.43217
84069        1     891872     911988     93      14  424096      0.61671      0.26871
84808        1     909079     927473    108      18  449779      0.42287       0.3362
57801        1     932842     946608     59      23  381947      -0.2073      0.58211
9636         1     938847     951420     48      17  445463      0.54684      0.29225
375790       1     945503     992999    226      48  437068        1.525     0.063629
401934       1    1005626    1019687     67      15  466069       1.7319     0.041648
54991        1    1015698    1061736    246      39  455930       2.5323    0.0056657
254173       1    1099286    1134815    209      21  491959      0.79275      0.21396
8784         1    1137388    1152163     60      10  378094     -0.44599       0.6722
7293         1    1145206    1159703    104       9  400972     0.037483      0.48505
51150        1    1150788    1177447    182      34  371155      0.28704      0.38704
126792       1    1157629    1171921     72      22  292074      0.88214      0.18885
388581       1    1176326    1192102    109      20  516324      0.63292      0.26339
118424       1    1187792    1219234    161      23  555046       1.2064      0.11383
6339         1    1205816    1228909    147      13  546584      0.40206      0.34382
116983       1    1226264    1253304    158      18  475570   0.00042571      0.49983
126789       1    1233962    1248557     79      14  484019      -0.1848      0.57331
54973        1    1245465    1270067    107      22  458212     -0.41643      0.66145
80772        1    1250136    1265776     65      17  519495     -0.39793      0.65466
83756        1    1256726    1271344     55      13  501676     -0.29244      0.61503
1855         1    1269158    1294509    135      31  433782     -0.30935      0.62147
54587        1    1286571    1307183    113      32  375745        1.062      0.14411
54998        1    1307610    1320818     32      15  339582      0.28177      0.38906
81669        1    1319591    1344718    106      24  431571      0.25898      0.39783
55052        1    1335776    1352693     66      15  442477      0.41281      0.33987
643965       1    1351508    1364667     69      13  541434     -0.47905      0.68405
441869       1    1352300    1366824     79      15  534165     -0.43529      0.66832
64856        1    1360903    1379762    147      16  521292     -0.47237      0.68167
219293       1    1368152    1407038    169      23  531459     -0.27566      0.60859
83858        1    1397139    1446352    222      33  414859   -0.0044279      0.50177
55210        1    1437523    1471567    165      27  256877      -1.1341      0.87162
339453       1    1468658    1485740     81      16  250627     0.012772       0.4949
29101        1    1475553    1520262    252      27  286016     -0.47641      0.68311
643988       1    1531888    1545476     62      18  353382     -0.80711       0.7902
142678       1    1540795    1567490    107      19  451151     -0.97242      0.83458
8510         1    1557060    1571530     57      14  451391     -0.42089      0.66308
984          1    1569600    1600473    161      33  227334     -0.49203      0.68865
728661       1    1589986    1634243    139      22  256580       -1.045      0.85198
728642       1    1632322    1665999     31       8  212260      0.55583      0.28916
9906         1    1654777    1687438     92      23  191893      0.59128      0.27717
65220        1    1681171    1721508    150      18  171299         1.09      0.13785
2782         1    1715225    1832552    390      42  341166      0.42748      0.33451
163688       1    1836266    1850233     35      11  465555     -0.12282      0.54888
339456       1    1847529    1860740     28      15  385476      0.10193      0.45941
85452        1    1851890    1945276    292      27  471222     -0.11652      0.54638
2563         1    1940768    1963692    107      17  472684     -0.52673      0.70081
5590         1    1971909    2118334    753      91  429387      -1.7018      0.95561
100506504    1    2111750    2125812     64      13  487008     -0.58916      0.72212
199990       1    2114399    2154159    159      22  534448     0.079433      0.46834
6497         1    2150134    2243152    325      48  508305      0.28742      0.38689
79906        1    2250219    2333190    378      75  488937       0.2533      0.40002
11079        1    2313214    2338383    152      39  502231     -0.44919      0.67335
5192         1    2334741    2354010    140      30  579546      -1.7413      0.95918
9651         1    2397754    2438464    214      65  483768       -1.881      0.97001
55229        1    2438475    2468061    177      27  505223      -1.9022      0.97143
388585       1    2458684    2471684     88      18  457992      -1.1758      0.88016
8764         1    2477291    2496768     89      22  492225      0.12035       0.4521
127281       1    2507899    2524408     82      18  509144      -1.2564      0.89551
79258        1    2520578    2574499    218      37  478233     -0.79177      0.78575
100287898    1    2571307    2716230    513      28  433306       -1.217       0.8882
140625       1    2928046    2940967     63      17  416421     -0.57352      0.71686
63976        1    2975565    3356685   2132     184  465085       0.9851      0.16229
27237        1    3361147    3399177    171      47  485538     -0.53944      0.70521
1953         1    3403006    3538059    705      84  514352     -0.65735      0.74452
127262       1    3531556    3548195     91      33  393721      -1.0852      0.86108
49856        1    3545831    3576671    161      38  399594     -0.59111      0.72278
7161         1    3559129    3654265    468      79  488664      -1.3688      0.91447
148870       1    3658965    3689709    160      41  461474    -0.091313      0.53638
388588       1    3679352    3694046     75      24  421034     -0.83743      0.79882
57470        1    3695284    3723068    144      29  455787      -1.5997      0.94516
9731         1    3727145    3783797    322      55  493627      0.42813      0.33428
1677         1    3763845    3803493    250      36  513338       1.2941     0.097819
339448       1    3804197    3826857    161      19  553010      0.52502      0.29978
55966        1    4705105    4845351    754      87  596822     -0.17044      0.56767
261734       1    5921370    6062618    567      47  578638     -0.24308      0.59603
8514         1    6042358    6162753    517      71  511234     -0.22925      0.59066
26038        1    6160347    6250194    327      46  499154       1.0035      0.15781
6146         1    6243580    6269679    107      17  477170      0.92657      0.17707
388591       1    6256189    6282859    114      28  477378      0.84568      0.19887
23463        1    6279753    6306044    110      20  550940     -0.69059      0.75509
390992       1    6294252    6307138     57      14  543190     -0.42868      0.66592
387509       1    6305906    6331035    135      18  583377      0.33641      0.36828
11332        1    6322832    6463826    653      36  537217     -0.16609      0.56596
54626        1    6473792    6494724     69      14  518167     -0.82525      0.79538
83715        1    6474836    6522504    191      39  484216       0.3135      0.37695
8718         1    6519287    6537432     70       7  549443      0.31293      0.37717
57449        1    6524652    6590121    250      22  534018      0.49325      0.31092
79707        1    6579907    6624658    139      35  522753        1.724     0.042357
80835        1    6604987    6641317    118      28  561158       2.7297    0.0031695
3104         1    6630051    6650840     76      23  567582       3.3716    0.0003736
9903         1    6649284    6672958     85      16  611923       1.9414     0.026102
148479       1    6663756    6685593     56      16  548623       1.7589     0.039297
90326        1    6674925    6697146     65      22  510021       2.2909     0.010984
