GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
79501        1      59091      71508      1       1   1993     -0.20906       0.5828
148398       1     849993     881461     80      12   2704      0.83397      0.20215
26155        1     878083     904679     54       6   3634       0.3876      0.34916
339451       1     885967     902599     37       4   3777      0.40246      0.34367
84069        1     891872     911988     45       9   3317      0.33291       0.3696
84808        1     909079     927473     43       7   3189      -1.2317      0.89096
57801        1     932842     946608     28       5   2806      -1.7716      0.96177
9636         1     938847     951420     18       3   2848     -0.39554      0.65378
375790       1     945503     992999    104       9   3200      0.32627      0.37211
401934       1    1005626    1019687     36       5  11473    -0.053361      0.52128
54991        1    1015698    1061736    127       8  12068      -1.0693      0.85754
254173       1    1099286    1134815    131      15   9518     -0.48658      0.68672
8784         1    1137388    1152163     29       4  10567      -1.0931      0.86282
7293         1    1145206    1159703     51       3  13136      -1.6944       0.9549
51150        1    1150788    1177447    100       4  12606       -1.455      0.92716
126792       1    1157629    1171921     72       3  12916      -1.5101      0.93449
388581       1    1176326    1192102     31       3   8826     -0.25041      0.59886
118424       1    1187792    1219234     27       4   8039      0.28854      0.38647
6339         1    1205816    1228909     24       4   7280    -0.090602       0.5361
116983       1    1226264    1253304     31       4   2344      0.84652      0.19863
126789       1    1233962    1248557     16       3   2650      0.80353      0.21084
54973        1    1245465    1270067     23       3   3271     0.047909      0.48089
80772        1    1250136    1265776     19       3   3259     0.081208      0.46764
83756        1    1256726    1271344     15       2   3240     -0.11633       0.5463
1855         1    1269158    1294509     21       2   5542     -0.22291       0.5882
54587        1    1286571    1307183     67       4   4123      -0.3981      0.65472
54998        1    1307610    1320818     30       3   7382     -0.61973      0.73228
81669        1    1319591    1344718     27       4   4784     -0.48049      0.68456
55052        1    1335776    1352693     23       3   5354     -0.70927      0.76092
643965       1    1351508    1364667     31       3   2783     -0.23283      0.59205
441869       1    1352300    1366824     35       4   2807     -0.18427       0.5731
64856        1    1360903    1379762     30       4   2856      0.60566      0.27237
219293       1    1368152    1407038     55       5   4130      0.48342       0.3144
83858        1    1397139    1446352     45       6   6124       1.2217      0.11092
55210        1    1437523    1471567     34       6   4840      0.35988      0.35947
339453       1    1468658    1485740     27       5   9149       1.0522      0.14636
29101        1    1475553    1520262     65       4  10518       0.7016      0.24146
643988       1    1531888    1545476     24       4   3329       1.2747       0.1012
142678       1    1540795    1567490     46       6   3302      0.48417      0.31413
8510         1    1557060    1571530     15       3   3288      0.71142      0.23841
984          1    1569600    1600473     38       4   3293      0.58284         0.28
728661       1    1589986    1634243     67      10   3288       1.3083     0.095392
728642       1    1632322    1665999     85       7   3265      -1.4817      0.93079
9906         1    1654777    1687438     63       7   5598      -1.0767      0.85919
65220        1    1681171    1721508     71       8  12507     -0.29841      0.61731
2782         1    1715225    1832552    128      12  13501    -0.027045      0.51079
163688       1    1836266    1850233     32       5  13213      0.45873      0.32321
339456       1    1847529    1860740     49       6  10467      0.44554      0.32796
85452        1    1851890    1945276    344      23   5833     -0.79105      0.78554
2563         1    1940768    1963692     48       5   3329      -1.7368      0.95879
5590         1    1971909    2118334    348      21  11983       1.6108     0.053611
100506504    1    2111750    2125812     17       4  12841       1.5696      0.05826
199990       1    2114399    2154159     62      12  11866       1.4989     0.066953
6497         1    2150134    2243152    201      31  11894      0.84891      0.19797
79906        1    2250219    2333190    269      27  13508    -0.049051      0.51956
11079        1    2313214    2338383     44      10  13305     -0.45021      0.67372
5192         1    2334741    2354010     47      11   8853      -1.2676      0.89752
9651         1    2397754    2438464     71      12  11295       1.0575      0.14515
55229        1    2438475    2468061     48       4  13644       1.1074      0.13405
388585       1    2458684    2471684     17       3  13770       1.0857      0.13881
8764         1    2477291    2496768     19       2  15305       1.8914     0.029285
127281       1    2507899    2524408     32       4  15019      0.92102      0.17852
79258        1    2520578    2574499    131       4  15414      0.21751      0.41391
100287898    1    2571307    2716230     42       6  13632      0.98171      0.16312
140625       1    2928046    2940967     22       3  13139       1.8163     0.034663
63976        1    2975565    3356685   1081     120  12586      -1.3791      0.91606
27237        1    3361147    3399177     76       6  12051       1.0992      0.13584
1953         1    3403006    3538059    366      50  10011     0.054369      0.47832
127262       1    3531556    3548195     54       7  10812     -0.17742      0.57041
49856        1    3545831    3576671     58      11   8920     -0.19973      0.57915
7161         1    3559129    3654265    248      44   8983     -0.87741      0.80987
148870       1    3658965    3689709     72       9  15246     -0.15374      0.56109
388588       1    3679352    3694046     43      10  15609       0.4769      0.31672
57470        1    3695284    3723068     96      12  15699      0.27987      0.38979
9731         1    3727145    3783797    270      12  14568     -0.36359      0.64192
1677         1    3763845    3803493    211      22  13456      -0.1079      0.54296
339448       1    3804197    3826857     59       6  14168      0.24572      0.40295
55966        1    4705105    4845351    510      66  14450     0.026858      0.48929
261734       1    5921370    6062618    330      12  15898    -0.044207      0.51763
8514         1    6042358    6162753    230      34  13156       1.1607      0.12287
26038        1    6160347    6250194    257      23  11085       1.1851      0.11798
6146         1    6243580    6269679     44       8   8669     -0.34331      0.63432
388591       1    6256189    6282859     36       7  10583      0.23185      0.40833
23463        1    6279753    6306044     25       4  12636      0.41744      0.33818
390992       1    6294252    6307138     12       3  12031    -0.064235      0.52561
387509       1    6305906    6331035     41       3  11958     -0.70421      0.75935
11332        1    6322832    6463826    260      11  12396     -0.88346      0.81151
54626        1    6473792    6494724     56       5  14377     -0.41606      0.66132
83715        1    6474836    6522504    103       8  14364     -0.59254      0.72326
8718         1    6519287    6537432     37       6  13460      0.72085       0.2355
57449        1    6524652    6590121    149      18  12051      -0.3395      0.63289
79707        1    6579907    6624658    120       3  15310      0.61487      0.26932
80835        1    6604987    6641317     63       3  13943      0.63864      0.26153
3104         1    6630051    6650840     15       5  13025     0.024191      0.49035
9903         1    6649284    6672958     23       3  16664     -0.18758       0.5744
148479       1    6663756    6685593     23       3  16944    -0.035062      0.51398
90326        1    6674925    6697146     40       5  16997      0.11493      0.45425
55735        1    6692728    6771966    129      10  16605      0.25478      0.39944
23261        1    6835384    7831266   2075     149  15136      0.69127       0.2447
