GENE       CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P
54991        1    1015698    1061736     63       2  44889    -0.048746      0.51944
254173       1    1099286    1134815     41       3  44889       1.5441     0.061288
8784         1    1137388    1152163      9       1  44889       1.3611     0.086741
7293         1    1145206    1159703     33       1  44889       1.3448     0.089344
51150        1    1150788    1177447     59       1  44889       1.2373      0.10798
126792       1    1157629    1171921     44       1  44889       1.2565      0.10447
118424       1    1187792    1219234     46       4  44889       1.4531     0.073097
6339         1    1205816    1228909     31       3  44889        1.592     0.055698
116983       1    1226264    1253304      1       1  44889     -0.38532         0.65
126789       1    1233962    1248557      1       1  44889     -0.38532         0.65
54973        1    1245465    1270067      6       1  44889      -1.5456       0.9389
80772        1    1250136    1265776      6       1  44889      -1.5456       0.9389
83756        1    1256726    1271344      5       1  44889      -1.5857       0.9436
1855         1    1269158    1294509      9       1  44889      -1.1484      0.87459
54587        1    1286571    1307183     13       1  44889       -1.176       0.8802
54998        1    1307610    1320818     16       1  44889      0.11235      0.45527
81669        1    1319591    1344718      2       1  44889      0.38247      0.35106
339453       1    1468658    1485740      9       1  44889      0.17922      0.42888
29101        1    1475553    1520262     33       2  44889      0.59341      0.27645
65220        1    1681171    1721508     21       2  44889    -0.034317      0.51369
2782         1    1715225    1832552     64       6  44889     -0.63166      0.73619
163688       1    1836266    1850233      2       1  44889     -0.40533      0.65738
5590         1    1971909    2118334    130       6  44889      0.56059      0.28754
100506504    1    2111750    2125812      6       2  44889      0.26324      0.39618
199990       1    2114399    2154159      7       2  44889     -0.12056      0.54798
6497         1    2150134    2243152     21       4  44889      0.15808       0.4372
79906        1    2250219    2333190     88      11  44889      0.51372      0.30372
11079        1    2313214    2338383     15       4  44889      0.14893       0.4408
5192         1    2334741    2354010      2       1  44889     -0.68375      0.75293
9651         1    2397754    2438464     10       2  44889      -0.1676      0.56655
55229        1    2438475    2468061     29       3  44889        1.064      0.14366
8764         1    2477291    2496768      7       2  44889      0.28305      0.38857
127281       1    2507899    2524408     21       3  44889      0.44984      0.32641
79258        1    2520578    2574499     95       2  44889      0.40682      0.34207
100287898    1    2571307    2716230     27       2  44889       2.0811     0.018712
140625       1    2928046    2940967     15       2  44889      0.78355      0.21665
63976        1    2975565    3356685    277      33  44889      0.92369      0.17782
27237        1    3361147    3399177     68       6  44889      0.31966      0.37461
1953         1    3403006    3538059      8       2  44889    -0.033468      0.51335
127262       1    3531556    3548195      6       1  44889      -1.0724      0.85823
49856        1    3545831    3576671      2       1  44889      -1.2602      0.89619
7161         1    3559129    3654265      3       1  44889       1.8727     0.030556
148870       1    3658965    3689709     37       4  44889     -0.60477      0.72733
388588       1    3679352    3694046      9       3  44889     -0.44653      0.67239
57470        1    3695284    3723068     63       8  44889     -0.63809      0.73829
9731         1    3727145    3783797    215      13  44889      0.24007      0.40514
1677         1    3763845    3803493     70       5  44889      0.37984      0.35203
339448       1    3804197    3826857     36       3  44889     0.031609      0.48739
55966        1    4705105    4845351    334      47  44889     0.058644      0.47662
261734       1    5921370    6062618    289      11  44889     -0.94019      0.82644
8514         1    6042358    6162753    108      12  44889      -0.7313       0.7677
26038        1    6160347    6250194     32       3  44889     -0.74849      0.77292
6146         1    6243580    6269679      8       1  44889       1.3616     0.086657
388591       1    6256189    6282859     17       3  44889      0.81742      0.20684
23463        1    6279753    6306044     23       3  44889      -1.0203      0.84621
390992       1    6294252    6307138      4       1  44889     -0.78591      0.78404
11332        1    6322832    6463826    178      10  44889     -0.45471      0.67534
54626        1    6473792    6494724     24       3  44889      0.34892      0.36357
83715        1    6474836    6522504     36       4  44889      0.15346      0.43902
8718         1    6519287    6537432      9       2  44889      0.86425      0.19372
57449        1    6524652    6590121     53       5  44889      0.17977      0.42867
79707        1    6579907    6624658     99       2  44889      0.33137      0.37018
80835        1    6604987    6641317     42       1  44889        0.447      0.32744
3104         1    6630051    6650840      2       1  44889      -1.4068      0.92025
9903         1    6649284    6672958     22       3  44889       1.3787     0.083987
148479       1    6663756    6685593     21       3  44889       1.2517      0.10534
90326        1    6674925    6697146     34       4  44889       0.8328      0.20248
55735        1    6692728    6771966    110       8  44889       1.6699     0.047468
23261        1    6835384    7831266   1507     109  44889        4.038    2.696e-05
9341         1    7821329    7842992     35       8  44889       1.8058     0.035479
8863         1    7834413    7906741    184      21  44889       2.4337    0.0074727
10911        1    7906172    7923551     49      11  44889       1.4541     0.072954
3604         1    7974431    8013225     39       4  44889       1.4542     0.072948
11315        1    8011714    8046842     40       4  44889       1.0122      0.15573
54206        1    8070279    8096393     27       3  44889       1.5842     0.056579
50651        1    8368171    8405727     32       4  44889      0.57874      0.28138
473          1    8410964    8887699    273      14  44889       1.8656     0.031051
2023         1    8919559    8949151     29       3  44889       2.0836       0.0186
765          1    8995893    9036651     29       6  44889      0.19289      0.42352
155184       1    9061859    9096404     30       3  44889     -0.61823      0.73179
6518         1    9095505    9141763     32       3  44889      0.86999      0.19215
80045        1    9161972    9199229     50       5  44889       -1.107      0.86586
9563         1    9284822    9332896     67       7  44889     -0.24876      0.59823
80176        1    9325202    9431091    134      21  44889    -0.027674      0.51104
